filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/cknn/trace_cancer/vpython1_001.txt,001,2330556,4242210,132,159231,69166,135094,6,3962,189,340,0,18,2399911,4377644,138,163211
programs/cknn/trace_cancer/vpython1_002.txt,002,2330541,4242185,132,159231,69166,135094,6,3962,189,340,0,18,2399896,4377619,138,163211
programs/cknn/trace_cancer/vpython1_003.txt,003,2330556,4242210,132,159231,69166,135094,6,3962,189,340,0,18,2399911,4377644,138,163211
programs/cknn/trace_cancer/vpython1_004.txt,004,2330550,4242200,132,159231,69166,135094,6,3962,189,340,0,18,2399905,4377634,138,163211
programs/cknn/trace_cancer/vpython1_005.txt,005,2330547,4242195,132,159231,69166,135094,6,3962,189,340,0,18,2399902,4377629,138,163211
programs/cknn/trace_cancer/vpython1_006.txt,006,2330547,4242195,132,159231,69166,135094,6,3962,189,340,0,18,2399902,4377629,138,163211
programs/cknn/trace_cancer/vpython1_007.txt,007,2330556,4242210,132,159231,69166,135094,6,3962,189,340,0,18,2399911,4377644,138,163211
programs/cknn/trace_cancer/vpython1_008.txt,008,2330538,4242180,132,159231,69166,135094,6,3962,189,340,0,18,2399893,4377614,138,163211
programs/cknn/trace_cancer/vpython1_009.txt,009,2330550,4242200,132,159231,69166,135094,6,3962,189,340,0,18,2399905,4377634,138,163211
programs/cknn/trace_cancer/vpython1_010.txt,010,2330544,4242190,132,159231,69166,135094,6,3962,189,340,0,18,2399899,4377624,138,163211



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/cknn/trace_wine_bin/vpython2_001.txt,001,2330544,4242190,132,159231,812039,1477398,9,24392,189,340,0,18,3142772,5719928,141,183641
programs/cknn/trace_wine_bin/vpython2_002.txt,002,2330529,4242165,132,159231,812039,1477398,9,24392,189,340,0,18,3142757,5719903,141,183641
programs/cknn/trace_wine_bin/vpython2_003.txt,003,2330535,4242175,132,159231,812039,1477398,9,24392,189,340,0,18,3142763,5719913,141,183641
programs/cknn/trace_wine_bin/vpython2_004.txt,004,2330550,4242200,132,159231,812039,1477398,9,24392,189,340,0,18,3142778,5719938,141,183641
programs/cknn/trace_wine_bin/vpython2_005.txt,005,2330547,4242195,132,159231,812039,1477398,9,24392,189,340,0,18,3142775,5719933,141,183641
programs/cknn/trace_wine_bin/vpython2_006.txt,006,2330547,4242195,132,159231,812039,1477398,9,24392,189,340,0,18,3142775,5719933,141,183641
programs/cknn/trace_wine_bin/vpython2_007.txt,007,2330583,4242255,132,159231,812039,1477398,9,24392,189,340,0,18,3142811,5719993,141,183641
programs/cknn/trace_wine_bin/vpython2_008.txt,008,2330544,4242190,132,159231,812039,1477398,9,24392,189,340,0,18,3142772,5719928,141,183641
programs/cknn/trace_wine_bin/vpython2_009.txt,009,2330544,4242190,132,159231,812039,1477398,9,24392,189,340,0,18,3142772,5719928,141,183641
programs/cknn/trace_wine_bin/vpython2_010.txt,010,2330547,4242195,132,159231,812039,1477398,9,24392,189,340,0,18,3142775,5719933,141,183641



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/cknn/trace_wine_multi/vpython3_001.txt,001,2330532,4242170,132,159231,812035,1477392,9,24392,189,340,0,18,3142756,5719902,141,183641
