filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/linear_regression/trace_car/vpython1_001.txt,001,2306603,4200175,124,157711,20141,38138,5,1017,189,340,0,18,2326933,4238653,129,158746
programs/linear_regression/trace_car/vpython1_002.txt,002,2306609,4200185,124,157711,20141,38138,5,1017,189,340,0,18,2326939,4238663,129,158746
programs/linear_regression/trace_car/vpython1_003.txt,003,2306609,4200185,124,157711,20141,38138,5,1017,189,340,0,18,2326939,4238663,129,158746
programs/linear_regression/trace_car/vpython1_004.txt,004,2306615,4200195,124,157711,20141,38138,5,1017,189,340,0,18,2326945,4238673,129,158746
programs/linear_regression/trace_car/vpython1_005.txt,005,2306642,4200240,124,157711,20141,38138,5,1017,189,340,0,18,2326972,4238718,129,158746
programs/linear_regression/trace_car/vpython1_006.txt,006,2306603,4200175,124,157711,20141,38138,5,1017,189,340,0,18,2326933,4238653,129,158746
programs/linear_regression/trace_car/vpython1_007.txt,007,2306612,4200190,124,157711,20141,38138,5,1017,189,340,0,18,2326942,4238668,129,158746
programs/linear_regression/trace_car/vpython1_008.txt,008,2306615,4200195,124,157711,20141,38138,5,1017,189,340,0,18,2326945,4238673,129,158746
programs/linear_regression/trace_car/vpython1_009.txt,009,2306618,4200200,124,157711,20141,38138,5,1017,189,340,0,18,2326948,4238678,129,158746
programs/linear_regression/trace_car/vpython1_010.txt,010,2306612,4200190,124,157711,20141,38138,5,1017,189,340,0,18,2326942,4238668,129,158746



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/linear_regression/trace_energy/vpython2_001.txt,001,2306612,4200190,124,157711,20621,39053,6,1030,189,340,0,18,2327422,4239583,130,158759
programs/linear_regression/trace_energy/vpython2_002.txt,002,2306603,4200175,124,157711,20621,39053,6,1030,189,340,0,18,2327413,4239568,130,158759
programs/linear_regression/trace_energy/vpython2_003.txt,003,2306606,4200180,124,157711,20621,39053,6,1030,189,340,0,18,2327416,4239573,130,158759
programs/linear_regression/trace_energy/vpython2_004.txt,004,2306609,4200185,124,157711,20621,39053,6,1030,189,340,0,18,2327419,4239578,130,158759
programs/linear_regression/trace_energy/vpython2_005.txt,005,2306600,4200170,124,157711,20621,39053,6,1030,189,340,0,18,2327410,4239563,130,158759
programs/linear_regression/trace_energy/vpython2_006.txt,006,2306606,4200180,124,157711,20621,39053,6,1030,189,340,0,18,2327416,4239573,130,158759
programs/linear_regression/trace_energy/vpython2_007.txt,007,2306612,4200190,124,157711,20621,39053,6,1030,189,340,0,18,2327422,4239583,130,158759
programs/linear_regression/trace_energy/vpython2_008.txt,008,2306612,4200190,124,157711,20621,39053,6,1030,189,340,0,18,2327422,4239583,130,158759
programs/linear_regression/trace_energy/vpython2_009.txt,009,2306609,4200185,124,157711,20621,39053,6,1030,189,340,0,18,2327419,4239578,130,158759
programs/linear_regression/trace_energy/vpython2_010.txt,010,2306615,4200195,124,157711,20621,39053,6,1030,189,340,0,18,2327425,4239588,130,158759



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/linear_regression/trace_house/vpython3_001.txt,001,2306618,4200200,124,157711,18371,35110,4,947,189,340,0,18,2325178,4235650,128,158676
programs/linear_regression/trace_house/vpython3_002.txt,002,2306618,4200200,124,157711,18371,35110,4,947,189,340,0,18,2325178,4235650,128,158676
programs/linear_regression/trace_house/vpython3_003.txt,003,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676
programs/linear_regression/trace_house/vpython3_004.txt,004,2306618,4200200,124,157711,18371,35110,4,947,189,340,0,18,2325178,4235650,128,158676
