images,pop,push,grow,shrink
10,31095714,62189364,40,3711103
20,31101754,62200684,80,3711413
30,31107794,62212004,120,3711723
40,31113834,62223324,160,3712033
50,31119874,62234644,200,3712343
60,31125914,62245964,240,3712653
70,31131954,62257284,280,3712963
80,31137994,62268604,320,3713273
90,31144034,62279924,360,3713583
100,31150074,62291244,400,3713893
200,31210474,62404444,800,3716993
300,31270874,62517644,1200,3720093
400,31331274,62630844,1600,3723193
500,31391674,62744044,2000,3726293
600,31452074,62857244,2400,3729393
700,31512474,62970444,2800,3732493
800,31572874,63083644,3200,3735593
900,31633274,63196844,3600,3738693
1000,31693674,63310044,4000,3741793
2000,32297674,64442044,8000,3772793
3000,32901674,65574044,12000,3803793
4000,33505674,66706044,16000,3834793
5000,34109674,67838044,20000,3865793
6000,34713674,68970044,24000,3896793
7000,35317674,70102044,28000,3927793
8000,35921674,71234044,32000,3958793
9000,36525674,72366044,36000,3989793
10000,37129674,73498044,40000,4020793
20000,43169674,84818044,80000,4330793
30000,49209674,96138044,120000,4640793
40000,55249674,107458044,160000,4950793
50000,61289674,118778044,200000,5260793
60000,67329674,130098044,240000,5570793
