filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_car_noRandom/vpython_car_001.txt,001,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_002.txt,002,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_003.txt,003,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_004.txt,004,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_005.txt,005,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_006.txt,006,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_007.txt,007,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_008.txt,008,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_009.txt,009,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779
neural_network/trace_car_noRandom/vpython_car_010.txt,010,1405526,2435388,2,94354,36763,73885,10,1404,192,335,0,21,1442481,2509608,12,95779



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_diabetes_noRandom/vpython_diabetes_001.txt,001,2778238,4982620,72,192477,51901,106826,2,2430,237,416,0,26,2830376,5089862,74,194933
neural_network/trace_diabetes_noRandom/vpython_diabetes_002.txt,002,2778220,4982590,72,192477,51901,106826,2,2430,237,416,0,26,2830358,5089832,74,194933
neural_network/trace_diabetes_noRandom/vpython_diabetes_003.txt,003,2778229,4982605,72,192477,51901,106826,2,2430,237,416,0,26,2830367,5089847,74,194933
neural_network/trace_diabetes_noRandom/vpython_diabetes_004.txt,004,2778226,4982600,72,192477,52603,108068,2,2481,237,416,0,26,2831066,5091084,74,194984
neural_network/trace_diabetes_noRandom/vpython_diabetes_005.txt,005,2778217,4982585,72,192477,52603,108068,2,2481,237,416,0,26,2831057,5091069,74,194984
neural_network/trace_diabetes_noRandom/vpython_diabetes_006.txt,006,2778241,4982625,72,192477,52603,108068,2,2481,237,416,0,26,2831081,5091109,74,194984
neural_network/trace_diabetes_noRandom/vpython_diabetes_007.txt,007,2778232,4982610,72,192477,52603,108068,2,2481,237,416,0,26,2831072,5091094,74,194984
neural_network/trace_diabetes_noRandom/vpython_diabetes_008.txt,008,2778235,4982615,72,192477,52678,108216,2,2487,237,416,0,26,2831150,5091247,74,194990
