filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_car/vpython_car_001.txt,001,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_002.txt,002,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_003.txt,003,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_004.txt,004,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_005.txt,005,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_006.txt,006,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_007.txt,007,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_008.txt,008,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_009.txt,009,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398
neural_network/trace_car/vpython_car_010.txt,010,1405526,2435388,2,94354,26169,55287,10,1023,192,335,0,21,1431887,2491010,12,95398



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_diabetes/vpython_diabetes_001.txt,001,2778247,4982635,72,192477,41275,88020,2,2049,237,416,0,26,2819759,5071071,74,194552
neural_network/trace_diabetes/vpython_diabetes_002.txt,002,2778223,4982595,72,192477,41275,88020,2,2049,237,416,0,26,2819735,5071031,74,194552
neural_network/trace_diabetes/vpython_diabetes_003.txt,003,2778217,4982585,72,192477,41275,88020,2,2049,237,416,0,26,2819729,5071021,74,194552
neural_network/trace_diabetes/vpython_diabetes_004.txt,004,2778238,4982620,72,192477,41275,88020,2,2049,237,416,0,26,2819750,5071056,74,194552
neural_network/trace_diabetes/vpython_diabetes_005.txt,005,2778229,4982605,72,192477,41275,88020,2,2049,237,416,0,26,2819741,5071041,74,194552
neural_network/trace_diabetes/vpython_diabetes_006.txt,006,2778217,4982585,72,192477,41275,88020,2,2049,237,416,0,26,2819729,5071021,74,194552
neural_network/trace_diabetes/vpython_diabetes_007.txt,007,2778226,4982600,72,192477,41275,88020,2,2049,237,416,0,26,2819738,5071036,74,194552
neural_network/trace_diabetes/vpython_diabetes_008.txt,008,2778238,4982620,72,192477,41275,88020,2,2049,237,416,0,26,2819750,5071056,74,194552
neural_network/trace_diabetes/vpython_diabetes_009.txt,009,2778223,4982595,72,192477,41275,88020,2,2049,237,416,0,26,2819735,5071031,74,194552
neural_network/trace_diabetes/vpython_diabetes_010.txt,010,2778214,4982580,72,192477,41275,88020,2,2049,237,416,0,26,2819726,5071016,74,194552



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_energy/vpython_energy_001.txt,001,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_002.txt,002,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_003.txt,003,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_004.txt,004,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_005.txt,005,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_006.txt,006,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_007.txt,007,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_008.txt,008,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_009.txt,009,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963
neural_network/trace_energy/vpython_energy_010.txt,010,1405526,2435388,2,94354,37965,84747,10,1588,192,335,0,21,1443683,2520470,12,95963



