filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_car_noRandom/vpython_car_001.txt,001,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_002.txt,002,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_003.txt,003,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_004.txt,004,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_005.txt,005,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_006.txt,006,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_007.txt,007,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_008.txt,008,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_009.txt,009,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830
neural_network/trace_car_noRandom/vpython_car_010.txt,010,1405526,2435388,2,94354,37465,75127,10,1455,192,335,0,21,1443183,2510850,12,95830



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_diabetes_noRandom/vpython_diabetes_001.txt,001,2778217,4982585,72,192477,52603,108068,2,2481,237,416,0,26,2831057,5091069,74,194984
