filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_car/vpython_car_001.txt,001,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_002.txt,002,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_003.txt,003,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_004.txt,004,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_005.txt,005,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_006.txt,006,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_007.txt,007,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_008.txt,008,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_009.txt,009,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182
neural_network/trace_car/vpython_car_010.txt,010,1405526,2435388,2,94354,20521,45367,10,807,192,335,0,21,1426239,2481090,12,95182



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_diabetes/vpython_diabetes_001.txt,001,2778235,4982615,72,192477,35611,77996,2,1833,237,416,0,26,2814083,5061027,74,194336
neural_network/trace_diabetes/vpython_diabetes_002.txt,002,2778223,4982595,72,192477,35611,77996,2,1833,237,416,0,26,2814071,5061007,74,194336
neural_network/trace_diabetes/vpython_diabetes_003.txt,003,2778226,4982600,72,192477,35611,77996,2,1833,237,416,0,26,2814074,5061012,74,194336
neural_network/trace_diabetes/vpython_diabetes_004.txt,004,2778226,4982600,72,192477,35611,77996,2,1833,237,416,0,26,2814074,5061012,74,194336
neural_network/trace_diabetes/vpython_diabetes_005.txt,005,2778241,4982625,72,192477,35611,77996,2,1833,237,416,0,26,2814089,5061037,74,194336
neural_network/trace_diabetes/vpython_diabetes_006.txt,006,2778253,4982645,72,192477,35611,77996,2,1833,237,416,0,26,2814101,5061057,74,194336
neural_network/trace_diabetes/vpython_diabetes_007.txt,007,2778232,4982610,72,192477,35611,77996,2,1833,237,416,0,26,2814080,5061022,74,194336
neural_network/trace_diabetes/vpython_diabetes_008.txt,008,2778265,4982665,72,192477,35611,77996,2,1833,237,416,0,26,2814113,5061077,74,194336
neural_network/trace_diabetes/vpython_diabetes_009.txt,009,2778229,4982605,72,192477,35611,77996,2,1833,237,416,0,26,2814077,5061017,74,194336
neural_network/trace_diabetes/vpython_diabetes_010.txt,010,2778241,4982625,72,192477,35611,77996,2,1833,237,416,0,26,2814089,5061037,74,194336



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_energy/vpython_energy_001.txt,001,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_002.txt,002,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_003.txt,003,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_004.txt,004,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_005.txt,005,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_006.txt,006,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_007.txt,007,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_008.txt,008,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_009.txt,009,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747
neural_network/trace_energy/vpython_energy_010.txt,010,1405526,2435388,2,94354,32317,74827,10,1372,192,335,0,21,1438035,2510550,12,95747



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_house/vpython_house_001.txt,001,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_002.txt,002,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_003.txt,003,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_004.txt,004,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_005.txt,005,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_006.txt,006,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_007.txt,007,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_008.txt,008,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_009.txt,009,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471
neural_network/trace_house/vpython_house_010.txt,010,1405526,2435388,2,94354,153956,430811,10,2096,192,335,0,21,1559674,2866534,12,96471



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_medical/vpython_medical_001.txt,001,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_002.txt,002,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_003.txt,003,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_004.txt,004,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_005.txt,005,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_006.txt,006,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_007.txt,007,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_008.txt,008,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_009.txt,009,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317
neural_network/trace_medical/vpython_medical_010.txt,010,1405526,2435388,2,94354,43674,102666,10,1942,192,335,0,21,1449392,2538389,12,96317



