filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/activity/v2_nb/trace_pa_integer/vpython_001.txt,001,2332714,4265981,124,159735,26917,52071,8,1268,186,336,0,17,2359817,4318388,132,161020
programs/activity/v2_nb/trace_pa_integer/vpython_002.txt,002,2332705,4265966,124,159735,27539,53103,10,1282,186,336,0,17,2360430,4319405,134,161034
programs/activity/v2_nb/trace_pa_integer/vpython_003.txt,003,2332711,4265976,124,159735,27539,53103,10,1282,186,336,0,17,2360436,4319415,134,161034
programs/activity/v2_nb/trace_pa_integer/vpython_004.txt,004,2332702,4265961,124,159735,27539,53103,10,1282,186,336,0,17,2360427,4319400,134,161034
programs/activity/v2_nb/trace_pa_integer/vpython_005.txt,005,2332699,4265956,124,159735,27599,53193,10,1287,186,336,0,17,2360484,4319485,134,161039
programs/activity/v2_nb/trace_pa_integer/vpython_006.txt,006,2332696,4265951,124,159735,29252,56628,10,1388,186,336,0,17,2362134,4322915,134,161140


filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/activity/v2_nb/trace_pa_X100integer/vpython_001.txt,001,2332738,4266021,124,159735,26917,52071,8,1268,186,336,0,17,2359841,4318428,132,161020
programs/activity/v2_nb/trace_pa_X100integer/vpython_002.txt,002,2332708,4265971,124,159735,27539,53103,10,1282,186,336,0,17,2360433,4319410,134,161034
programs/activity/v2_nb/trace_pa_X100integer/vpython_003.txt,003,2332702,4265961,124,159735,27539,53103,10,1282,186,336,0,17,2360427,4319400,134,161034
programs/activity/v2_nb/trace_pa_X100integer/vpython_004.txt,004,2332729,4266006,124,159735,27539,53103,10,1282,186,336,0,17,2360454,4319445,134,161034
programs/activity/v2_nb/trace_pa_X100integer/vpython_005.txt,005,2332714,4265981,124,159735,27623,53229,10,1289,186,336,0,17,2360523,4319546,134,161041
programs/activity/v2_nb/trace_pa_X100integer/vpython_006.txt,006,2332732,4266011,124,159735,29504,57006,10,1409,186,336,0,17,2362422,4323353,134,161161



