filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/activity/v2_nb/trace_pa/vpython_001.txt,001,2332705,4265966,124,159735,24886,47697,8,1158,186,336,0,17,2357777,4313999,132,160910
programs/activity/v2_nb/trace_pa/vpython_002.txt,002,2332702,4265961,124,159735,25508,48729,10,1172,186,336,0,17,2358396,4315026,134,160924
programs/activity/v2_nb/trace_pa/vpython_003.txt,003,2332708,4265971,124,159735,25508,48729,10,1172,186,336,0,17,2358402,4315036,134,160924
programs/activity/v2_nb/trace_pa/vpython_004.txt,004,2332696,4265951,124,159735,25508,48729,10,1172,186,336,0,17,2358390,4315016,134,160924
programs/activity/v2_nb/trace_pa/vpython_005.txt,005,2332708,4265971,124,159735,25508,48729,10,1172,186,336,0,17,2358402,4315036,134,160924
programs/activity/v2_nb/trace_pa/vpython_006.txt,006,2332696,4265951,124,159735,25508,48729,10,1172,186,336,0,17,2358390,4315016,134,160924
programs/activity/v2_nb/trace_pa/vpython_007.txt,007,2332708,4265971,124,159735,25508,48729,10,1172,186,336,0,17,2358402,4315036,134,160924
programs/activity/v2_nb/trace_pa/vpython_008.txt,008,2332708,4265971,124,159735,25508,48729,10,1172,186,336,0,17,2358402,4315036,134,160924
programs/activity/v2_nb/trace_pa/vpython_009.txt,009,2332708,4265971,124,159735,25508,48729,10,1172,186,336,0,17,2358402,4315036,134,160924
programs/activity/v2_nb/trace_pa/vpython_010.txt,010,2332711,4265976,124,159735,25508,48729,10,1172,186,336,0,17,2358405,4315041,134,160924
programs/activity/v2_nb/trace_pa/vpython_011.txt,011,2332699,4265956,124,159735,25508,48729,10,1172,186,336,0,17,2358393,4315021,134,160924
programs/activity/v2_nb/trace_pa/vpython_012.txt,012,2332711,4265976,124,159735,25508,48729,10,1172,186,336,0,17,2358405,4315041,134,160924
programs/activity/v2_nb/trace_pa/vpython_013.txt,013,2332714,4265981,124,159735,25508,48729,10,1172,186,336,0,17,2358408,4315046,134,160924
programs/activity/v2_nb/trace_pa/vpython_014.txt,014,2332708,4265971,124,159735,25508,48729,10,1172,186,336,0,17,2358402,4315036,134,160924
programs/activity/v2_nb/trace_pa/vpython_015.txt,015,2332708,4265971,124,159735,25508,48729,10,1172,186,336,0,17,2358402,4315036,134,160924
programs/activity/v2_nb/trace_pa/vpython_016.txt,016,2332714,4265981,124,159735,25520,48747,10,1173,186,336,0,17,2358420,4315064,134,160925
programs/activity/v2_nb/trace_pa/vpython_017.txt,017,2332708,4265971,124,159735,25520,48747,10,1173,186,336,0,17,2358414,4315054,134,160925
programs/activity/v2_nb/trace_pa/vpython_018.txt,018,2332702,4265961,124,159735,25556,48801,10,1176,186,336,0,17,2358444,4315098,134,160928
programs/activity/v2_nb/trace_pa/vpython_019.txt,019,2332708,4265971,124,159735,25646,48975,10,1182,186,336,0,17,2358540,4315282,134,160934
programs/activity/v2_nb/trace_pa/vpython_020.txt,020,2332717,4265986,124,159735,25748,49167,10,1189,186,336,0,17,2358651,4315489,134,160941
programs/activity/v2_nb/trace_pa/vpython_021.txt,021,2332705,4265966,124,159735,25838,49341,10,1195,186,336,0,17,2358729,4315643,134,160947
programs/activity/v2_nb/trace_pa/vpython_022.txt,022,2332699,4265956,124,159735,25940,49533,10,1202,186,336,0,17,2358825,4315825,134,160954
programs/activity/v2_nb/trace_pa/vpython_023.txt,023,2332699,4265956,124,159735,26030,49707,10,1208,186,336,0,17,2358915,4315999,134,160960
programs/activity/v2_nb/trace_pa/vpython_024.txt,024,2332711,4265976,124,159735,26132,49899,10,1215,186,336,0,17,2359029,4316211,134,160967
programs/activity/v2_nb/trace_pa/vpython_025.txt,025,2332720,4265991,124,159735,26222,50073,10,1221,186,336,0,17,2359128,4316400,134,160973
programs/activity/v2_nb/trace_pa/vpython_026.txt,026,2332717,4265986,124,159735,25249,48471,8,1180,186,336,0,17,2358152,4314793,132,160932
programs/activity/v2_nb/trace_pa/vpython_027.txt,027,2332702,4265961,124,159735,25871,49503,10,1194,186,336,0,17,2358759,4315800,134,160946
programs/activity/v2_nb/trace_pa/vpython_028.txt,028,2332708,4265971,124,159735,25871,49503,10,1194,186,336,0,17,2358765,4315810,134,160946
programs/activity/v2_nb/trace_pa/vpython_029.txt,029,2332726,4266001,124,159735,25871,49503,10,1194,186,336,0,17,2358783,4315840,134,160946
programs/activity/v2_nb/trace_pa/vpython_030.txt,030,2332726,4266001,124,159735,25871,49503,10,1194,186,336,0,17,2358783,4315840,134,160946
programs/activity/v2_nb/trace_pa/vpython_031.txt,031,2332699,4265956,124,159735,25871,49503,10,1194,186,336,0,17,2358756,4315795,134,160946
programs/activity/v2_nb/trace_pa/vpython_032.txt,032,2332717,4265986,124,159735,25871,49503,10,1194,186,336,0,17,2358774,4315825,134,160946
programs/activity/v2_nb/trace_pa/vpython_033.txt,033,2332708,4265971,124,159735,25871,49503,10,1194,186,336,0,17,2358765,4315810,134,160946
programs/activity/v2_nb/trace_pa/vpython_034.txt,034,2332705,4265966,124,159735,25871,49503,10,1194,186,336,0,17,2358762,4315805,134,160946
programs/activity/v2_nb/trace_pa/vpython_035.txt,035,2332732,4266011,124,159735,25871,49503,10,1194,186,336,0,17,2358789,4315850,134,160946
programs/activity/v2_nb/trace_pa/vpython_036.txt,036,2332723,4265996,124,159735,25871,49503,10,1194,186,336,0,17,2358780,4315835,134,160946
programs/activity/v2_nb/trace_pa/vpython_037.txt,037,2332705,4265966,124,159735,25871,49503,10,1194,186,336,0,17,2358762,4315805,134,160946
programs/activity/v2_nb/trace_pa/vpython_038.txt,038,2332696,4265951,124,159735,25871,49503,10,1194,186,336,0,17,2358753,4315790,134,160946
programs/activity/v2_nb/trace_pa/vpython_039.txt,039,2332702,4265961,124,159735,25871,49503,10,1194,186,336,0,17,2358759,4315800,134,160946
programs/activity/v2_nb/trace_pa/vpython_040.txt,040,2332693,4265946,124,159735,25883,49521,10,1195,186,336,0,17,2358762,4315803,134,160947
programs/activity/v2_nb/trace_pa/vpython_041.txt,041,2332711,4265976,124,159735,25883,49521,10,1195,186,336,0,17,2358780,4315833,134,160947
programs/activity/v2_nb/trace_pa/vpython_042.txt,042,2332717,4265986,124,159735,25895,49539,10,1196,186,336,0,17,2358798,4315861,134,160948
programs/activity/v2_nb/trace_pa/vpython_043.txt,043,2332705,4265966,124,159735,25943,49611,10,1200,186,336,0,17,2358834,4315913,134,160952
programs/activity/v2_nb/trace_pa/vpython_044.txt,044,2332696,4265951,124,159735,26090,49890,10,1210,186,336,0,17,2358972,4316177,134,160962
programs/activity/v2_nb/trace_pa/vpython_045.txt,045,2332729,4266006,124,159735,26225,50151,10,1219,186,336,0,17,2359140,4316493,134,160971
programs/activity/v2_nb/trace_pa/vpython_046.txt,046,2332702,4265961,124,159735,26372,50430,10,1229,186,336,0,17,2359260,4316727,134,160981
programs/activity/v2_nb/trace_pa/vpython_047.txt,047,2332714,4265981,124,159735,26507,50691,10,1238,186,336,0,17,2359407,4317008,134,160990
programs/activity/v2_nb/trace_pa/vpython_048.txt,048,2332714,4265981,124,159735,26654,50970,10,1248,186,336,0,17,2359554,4317287,134,161000
programs/activity/v2_nb/trace_pa/vpython_049.txt,049,2332708,4265971,124,159735,26801,51249,10,1258,186,336,0,17,2359695,4317556,134,161010
programs/activity/v2_nb/trace_pa/vpython_050.txt,050,2332720,4265991,124,159735,26936,51510,10,1267,186,336,0,17,2359842,4317837,134,161019
programs/activity/v2_nb/trace_pa/vpython_051.txt,051,2332708,4265971,124,159735,25666,49371,8,1202,186,336,0,17,2358560,4315678,132,160954
