filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/linear_regression/trace_car/vpython1_001.txt,1,2306606,4200180,124,157711,18371,35110,4,947,189,340,0,18,2325166,4235630,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,2,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676
programs/linear_regression/trace_car/vpython1_003.txt,3,2306615,4200195,124,157711,18371,35110,4,947,189,340,0,18,2325175,4235645,128,158676
programs/linear_regression/trace_car/vpython1_004.txt,4,2306615,4200195,124,157711,18371,35110,4,947,189,340,0,18,2325175,4235645,128,158676
programs/linear_regression/trace_car/vpython1_005.txt,5,2306597,4200165,124,157711,18371,35110,4,947,189,340,0,18,2325157,4235615,128,158676
programs/linear_regression/trace_car/vpython1_006.txt,6,2306621,4200205,124,157711,18371,35110,4,947,189,340,0,18,2325181,4235655,128,158676
programs/linear_regression/trace_car/vpython1_007.txt,7,2306600,4200170,124,157711,18371,35110,4,947,189,340,0,18,2325160,4235620,128,158676
programs/linear_regression/trace_car/vpython1_008.txt,8,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676
programs/linear_regression/trace_car/vpython1_009.txt,9,2306618,4200200,124,157711,18371,35110,4,947,189,340,0,18,2325178,4235650,128,158676
programs/linear_regression/trace_car/vpython1_010.txt,10,2306600,4200170,124,157711,18371,35110,4,947,189,340,0,18,2325160,4235620,128,158676
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/linear_regression/trace_energy/vpython2_001.txt,1,2306600,4200170,124,157711,18371,35110,4,947,189,340,0,18,2325160,4235620,128,158676
programs/linear_regression/trace_energy/vpython2_002.txt,2,2306597,4200165,124,157711,18371,35110,4,947,189,340,0,18,2325157,4235615,128,158676
programs/linear_regression/trace_energy/vpython2_003.txt,3,2306609,4200185,124,157711,18371,35110,4,947,189,340,0,18,2325169,4235635,128,158676
programs/linear_regression/trace_energy/vpython2_004.txt,4,2306597,4200165,124,157711,18371,35110,4,947,189,340,0,18,2325157,4235615,128,158676
programs/linear_regression/trace_energy/vpython2_005.txt,5,2306615,4200195,124,157711,18371,35110,4,947,189,340,0,18,2325175,4235645,128,158676
programs/linear_regression/trace_energy/vpython2_006.txt,6,2306627,4200215,124,157711,18371,35110,4,947,189,340,0,18,2325187,4235665,128,158676
programs/linear_regression/trace_energy/vpython2_007.txt,7,2306615,4200195,124,157711,18371,35110,4,947,189,340,0,18,2325175,4235645,128,158676
programs/linear_regression/trace_energy/vpython2_008.txt,8,2306603,4200175,124,157711,18371,35110,4,947,189,340,0,18,2325163,4235625,128,158676
programs/linear_regression/trace_energy/vpython2_009.txt,9,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676
programs/linear_regression/trace_energy/vpython2_010.txt,10,2306603,4200175,124,157711,18371,35110,4,947,189,340,0,18,2325163,4235625,128,158676
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/linear_regression/trace_house/vpython3_001.txt,1,2306618,4200200,124,157711,18371,35110,4,947,189,340,0,18,2325178,4235650,128,158676
programs/linear_regression/trace_house/vpython3_002.txt,2,2306609,4200185,124,157711,18371,35110,4,947,189,340,0,18,2325169,4235635,128,158676
programs/linear_regression/trace_house/vpython3_003.txt,3,2306603,4200175,124,157711,18371,35110,4,947,189,340,0,18,2325163,4235625,128,158676
programs/linear_regression/trace_house/vpython3_004.txt,4,2306606,4200180,124,157711,18371,35110,4,947,189,340,0,18,2325166,4235630,128,158676
programs/linear_regression/trace_house/vpython3_005.txt,5,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676
programs/linear_regression/trace_house/vpython3_006.txt,6,2306600,4200170,124,157711,18371,35110,4,947,189,340,0,18,2325160,4235620,128,158676
programs/linear_regression/trace_house/vpython3_007.txt,7,2306645,4200245,124,157711,18371,35110,4,947,189,340,0,18,2325205,4235695,128,158676
programs/linear_regression/trace_house/vpython3_008.txt,8,2306615,4200195,124,157711,18371,35110,4,947,189,340,0,18,2325175,4235645,128,158676
programs/linear_regression/trace_house/vpython3_009.txt,9,2306624,4200210,124,157711,18371,35110,4,947,189,340,0,18,2325184,4235660,128,158676
programs/linear_regression/trace_house/vpython3_010.txt,10,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/linear_regression/trace_medical/vpython4_001.txt,1,2306606,4200180,124,157711,18371,35110,4,947,189,340,0,18,2325166,4235630,128,158676
programs/linear_regression/trace_medical/vpython4_002.txt,2,2306624,4200210,124,157711,18371,35110,4,947,189,340,0,18,2325184,4235660,128,158676
programs/linear_regression/trace_medical/vpython4_003.txt,3,2306630,4200220,124,157711,18371,35110,4,947,189,340,0,18,2325190,4235670,128,158676
programs/linear_regression/trace_medical/vpython4_004.txt,4,2306597,4200165,124,157711,18371,35110,4,947,189,340,0,18,2325157,4235615,128,158676
programs/linear_regression/trace_medical/vpython4_005.txt,5,2306609,4200185,124,157711,18371,35110,4,947,189,340,0,18,2325169,4235635,128,158676
programs/linear_regression/trace_medical/vpython4_006.txt,6,2306609,4200185,124,157711,18371,35110,4,947,189,340,0,18,2325169,4235635,128,158676
programs/linear_regression/trace_medical/vpython4_007.txt,7,2306600,4200170,124,157711,18371,35110,4,947,189,340,0,18,2325160,4235620,128,158676
programs/linear_regression/trace_medical/vpython4_008.txt,8,2306603,4200175,124,157711,18371,35110,4,947,189,340,0,18,2325163,4235625,128,158676
programs/linear_regression/trace_medical/vpython4_009.txt,9,2306600,4200170,124,157711,18371,35110,4,947,189,340,0,18,2325160,4235620,128,158676
programs/linear_regression/trace_medical/vpython4_010.txt,10,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676
