filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
1
programs/linear_regression/trace_car/vpython1_001.txt,1,2306606,4200180,124,157711,18371,35110,4,947,189,340,0,18,2325166,4235630,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,2,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676

2
programs/linear_regression/trace_car/vpython1_001.txt,001,2306597,4200165,124,157711,18371,35110,4,947,189,340,0,18,2325157,4235615,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,002,2306621,4200205,124,157711,18371,35110,4,947,189,340,0,18,2325181,4235655,128,158676

3
programs/linear_regression/trace_car/vpython1_001.txt,001,2306615,4200195,124,157711,18371,35110,4,947,189,340,0,18,2325175,4235645,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,002,2306621,4200205,124,157711,18371,35110,4,947,189,340,0,18,2325181,4235655,128,158676

4
programs/linear_regression/trace_car/vpython1_004.txt,004,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676
programs/linear_regression/trace_car/vpython1_005.txt,005,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676

5
programs/linear_regression/trace_car/vpython1_001.txt,001,2306615,4200195,124,157711,18371,35110,4,947,189,340,0,18,2325175,4235645,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,002,2306603,4200175,124,157711,18371,35110,4,947,189,340,0,18,2325163,4235625,128,158676

6
programs/linear_regression/trace_car/vpython1_001.txt,001,2306609,4200185,124,157711,18371,35110,4,947,189,340,0,18,2325169,4235635,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,002,2306615,4200195,124,157711,18371,35110,4,947,189,340,0,18,2325175,4235645,128,158676

7
programs/linear_regression/trace_car/vpython1_001.txt,001,2306606,4200180,124,157711,18371,35110,4,947,189,340,0,18,2325166,4235630,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,002,2306618,4200200,124,157711,18371,35110,4,947,189,340,0,18,2325178,4235650,128,158676

8
programs/linear_regression/trace_car/vpython1_001.txt,001,2306606,4200180,124,157711,18371,35110,4,947,189,340,0,18,2325166,4235630,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,002,2306612,4200190,124,157711,18371,35110,4,947,189,340,0,18,2325172,4235640,128,158676

9
programs/linear_regression/trace_car/vpython1_001.txt,001,2306618,4200200,124,157711,18371,35110,4,947,189,340,0,18,2325178,4235650,128,158676
programs/linear_regression/trace_car/vpython1_002.txt,002,2306606,4200180,124,157711,18371,35110,4,947,189,340,0,18,2325166,4235630,128,158676

10
programs/linear_regression/trace_car/vpython1_001.txt,001,2306633,4200225,124,157711,18383,35128,4,948,189,340,0,18,2325205,4235693,128,158677
programs/linear_regression/trace_car/vpython1_002.txt,002,2306615,4200195,124,157711,18383,35128,4,948,189,340,0,18,2325187,4235663,128,158677

11
programs/linear_regression/trace_car/vpython1_001.txt,001,2306609,4200185,124,157711,18383,35128,4,948,189,340,0,18,2325181,4235653,128,158677
programs/linear_regression/trace_car/vpython1_002.txt,002,2306594,4200160,124,157711,18383,35128,4,948,189,340,0,18,2325166,4235628,128,158677

12
programs/linear_regression/trace_car/vpython1_001.txt,001,2306609,4200185,124,157711,18395,35146,4,949,189,340,0,18,2325193,4235671,128,158678
programs/linear_regression/trace_car/vpython1_002.txt,002,2306597,4200165,124,157711,18395,35146,4,949,189,340,0,18,2325181,4235651,128,158678

13
programs/linear_regression/trace_car/vpython1_001.txt,001,2306618,4200200,124,157711,18395,35146,4,949,189,340,0,18,2325202,4235686,128,158678
programs/linear_regression/trace_car/vpython1_002.txt,002,2306597,4200165,124,157711,18395,35146,4,949,189,340,0,18,2325181,4235651,128,158678

14
programs/linear_regression/trace_car/vpython1_001.txt,001,2306609,4200185,124,157711,18395,35146,4,949,189,340,0,18,2325193,4235671,128,158678
programs/linear_regression/trace_car/vpython1_002.txt,002,2306603,4200175,124,157711,18395,35146,4,949,189,340,0,18,2325187,4235661,128,158678

15
programs/linear_regression/trace_car/vpython1_001.txt,001,2306603,4200175,124,157711,18407,35164,4,950,189,340,0,18,2325199,4235679,128,158679
programs/linear_regression/trace_car/vpython1_002.txt,002,2306603,4200175,124,157711,18407,35164,4,950,189,340,0,18,2325199,4235679,128,158679

16
programs/linear_regression/trace_car/vpython1_001.txt,001,2306606,4200180,124,157711,18407,35164,4,950,189,340,0,18,2325202,4235684,128,158679
programs/linear_regression/trace_car/vpython1_002.txt,002,2306606,4200180,124,157711,18407,35164,4,950,189,340,0,18,2325202,4235684,128,158679

17
programs/linear_regression/trace_car/vpython1_001.txt,001,2306633,4200225,124,157711,18419,35182,4,951,189,340,0,18,2325241,4235747,128,158680
