filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/neural_network/mnist/trace/vpython_mnist_00000010.txt,10,2500486,4271772,2,177680,31095714,62189364,40,3711103,303,525,0,22,33596503,66461661,42,3888805
programs/neural_network/mnist/trace/vpython_mnist_00000020.txt,20,2500486,4271772,2,177680,31101754,62200684,80,3711413,303,525,0,22,33602543,66472981,82,3889115
programs/neural_network/mnist/trace/vpython_mnist_00000030.txt,30,2500486,4271772,2,177680,31107794,62212004,120,3711723,303,525,0,22,33608583,66484301,122,3889425
programs/neural_network/mnist/trace/vpython_mnist_00000040.txt,40,2500486,4271772,2,177680,31113834,62223324,160,3712033,303,525,0,22,33614623,66495621,162,3889735
programs/neural_network/mnist/trace/vpython_mnist_00000050.txt,50,2500486,4271772,2,177680,31119874,62234644,200,3712343,303,525,0,22,33620663,66506941,202,3890045
programs/neural_network/mnist/trace/vpython_mnist_00000060.txt,60,2500486,4271772,2,177680,31125914,62245964,240,3712653,303,525,0,22,33626703,66518261,242,3890355
programs/neural_network/mnist/trace/vpython_mnist_00000070.txt,70,2500486,4271772,2,177680,31131954,62257284,280,3712963,303,525,0,22,33632743,66529581,282,3890665
programs/neural_network/mnist/trace/vpython_mnist_00000080.txt,80,2500486,4271772,2,177680,31137994,62268604,320,3713273,303,525,0,22,33638783,66540901,322,3890975
programs/neural_network/mnist/trace/vpython_mnist_00000090.txt,90,2500486,4271772,2,177680,31144034,62279924,360,3713583,303,525,0,22,33644823,66552221,362,3891285
programs/neural_network/mnist/trace/vpython_mnist_00000100.txt,100,2500486,4271772,2,177680,31150074,62291244,400,3713893,303,525,0,22,33650863,66563541,402,3891595
programs/neural_network/mnist/trace/vpython_mnist_00000200.txt,200,2500486,4271772,2,177680,31210474,62404444,800,3716993,303,525,0,22,33711263,66676741,802,3894695
programs/neural_network/mnist/trace/vpython_mnist_00000300.txt,300,2500486,4271772,2,177680,31270874,62517644,1200,3720093,303,525,0,22,33771663,66789941,1202,3897795
programs/neural_network/mnist/trace/vpython_mnist_00000400.txt,400,2500486,4271772,2,177680,31331274,62630844,1600,3723193,303,525,0,22,33832063,66903141,1602,3900895
programs/neural_network/mnist/trace/vpython_mnist_00000500.txt,500,2500486,4271772,2,177680,31391674,62744044,2000,3726293,303,525,0,22,33892463,67016341,2002,3903995
programs/neural_network/mnist/trace/vpython_mnist_00000600.txt,600,2500486,4271772,2,177680,31452074,62857244,2400,3729393,303,525,0,22,33952863,67129541,2402,3907095
programs/neural_network/mnist/trace/vpython_mnist_00000700.txt,700,2500486,4271772,2,177680,31512474,62970444,2800,3732493,303,525,0,22,34013263,67242741,2802,3910195
programs/neural_network/mnist/trace/vpython_mnist_00000800.txt,800,2500486,4271772,2,177680,31572874,63083644,3200,3735593,303,525,0,22,34073663,67355941,3202,3913295
programs/neural_network/mnist/trace/vpython_mnist_00000900.txt,900,2500486,4271772,2,177680,31633274,63196844,3600,3738693,303,525,0,22,34134063,67469141,3602,3916395
programs/neural_network/mnist/trace/vpython_mnist_00001000.txt,0,2500486,4271772,2,177680,31693674,63310044,4000,3741793,303,525,0,22,34194463,67582341,4002,3919495
programs/neural_network/mnist/trace/vpython_mnist_00002000.txt,0,2500486,4271772,2,177680,32297674,64442044,8000,3772793,303,525,0,22,34798463,68714341,8002,3950495
programs/neural_network/mnist/trace/vpython_mnist_00003000.txt,0,2500486,4271772,2,177680,32901674,65574044,12000,3803793,303,525,0,22,35402463,69846341,12002,3981495
programs/neural_network/mnist/trace/vpython_mnist_00004000.txt,0,2500486,4271772,2,177680,33505674,66706044,16000,3834793,303,525,0,22,36006463,70978341,16002,4012495
programs/neural_network/mnist/trace/vpython_mnist_00005000.txt,0,2500486,4271772,2,177680,34109674,67838044,20000,3865793,303,525,0,22,36610463,72110341,20002,4043495
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,images,pop_in_A, sgrow_in_A, sshrink_in_A,,,,,,,,,,,,,
,10,31095714,40,3711103,,,,,,,,,,,,,
,20,31101754,80,3711413,,,,,,,,,,,,,
,30,31107794,120,3711723,,,,,,,,,,,,,
,40,31113834,160,3712033,,,,,,,,,,,,,
,50,31119874,200,3712343,,,,,,,,,,,,,
,60,31125914,240,3712653,,,,,,,,,,,,,
,70,31131954,280,3712963,,,,,,,,,,,,,
,80,31137994,320,3713273,,,,,,,,,,,,,
,90,31144034,360,3713583,,,,,,,,,,,,,
,100,31150074,400,3713893,,,,,,,,,,,,,
,200,31210474,800,3716993,,,,,,,,,,,,,
,300,31270874,1200,3720093,,,,,,,,,,,,,
,400,31331274,1600,3723193,,,,,,,,,,,,,
,500,31391674,2000,3726293,,,,,,,,,,,,,
,600,31452074,2400,3729393,,,,,,,,,,,,,
,700,31512474,2800,3732493,,,,,,,,,,,,,
,800,31572874,3200,3735593,,,,,,,,,,,,,
,900,31633274,3600,3738693,,,,,,,,,,,,,
,1000,31693674,4000,3741793,,,,,,,,,,,,,
,2000,32297674,8000,3772793,,,,,,,,,,,,,
,3000,32901674,12000,3803793,,,,,,,,,,,,,
,4000,33505674,16000,3834793,,,,,,,,,,,,,
,5000,34109674,20000,3865793,,,,,,,,,,,,,
