filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/neural_network/mnist/trace/vpython_mnist_00000010.txt,10,2500486,4271772,2,177680,31095714,62189364,40,3711103,303,525,0,22,33596503,66461661,42,3888805
programs/neural_network/mnist/trace/vpython_mnist_00000020.txt,20,2500486,4271772,2,177680,31101754,62200684,80,3711413,303,525,0,22,33602543,66472981,82,3889115
programs/neural_network/mnist/trace/vpython_mnist_00000030.txt,30,2500486,4271772,2,177680,31107794,62212004,120,3711723,303,525,0,22,33608583,66484301,122,3889425
programs/neural_network/mnist/trace/vpython_mnist_00000040.txt,40,2500486,4271772,2,177680,31113834,62223324,160,3712033,303,525,0,22,33614623,66495621,162,3889735
programs/neural_network/mnist/trace/vpython_mnist_00000050.txt,50,2500486,4271772,2,177680,31119874,62234644,200,3712343,303,525,0,22,33620663,66506941,202,3890045
programs/neural_network/mnist/trace/vpython_mnist_00000060.txt,60,2500486,4271772,2,177680,31125914,62245964,240,3712653,303,525,0,22,33626703,66518261,242,3890355
programs/neural_network/mnist/trace/vpython_mnist_00000070.txt,70,2500486,4271772,2,177680,31131954,62257284,280,3712963,303,525,0,22,33632743,66529581,282,3890665
programs/neural_network/mnist/trace/vpython_mnist_00000080.txt,80,2500486,4271772,2,177680,31137994,62268604,320,3713273,303,525,0,22,33638783,66540901,322,3890975
programs/neural_network/mnist/trace/vpython_mnist_00000090.txt,90,2500486,4271772,2,177680,31144034,62279924,360,3713583,303,525,0,22,33644823,66552221,362,3891285
programs/neural_network/mnist/trace/vpython_mnist_00000100.txt,100,2500486,4271772,2,177680,31150074,62291244,400,3713893,303,525,0,22,33650863,66563541,402,3891595
programs/neural_network/mnist/trace/vpython_mnist_00000200.txt,200,2500486,4271772,2,177680,31210474,62404444,800,3716993,303,525,0,22,33711263,66676741,802,3894695
programs/neural_network/mnist/trace/vpython_mnist_00000300.txt,300,2500486,4271772,2,177680,31270874,62517644,1200,3720093,303,525,0,22,33771663,66789941,1202,3897795
programs/neural_network/mnist/trace/vpython_mnist_00000400.txt,400,2500486,4271772,2,177680,31331274,62630844,1600,3723193,303,525,0,22,33832063,66903141,1602,3900895
programs/neural_network/mnist/trace/vpython_mnist_00000500.txt,500,2500486,4271772,2,177680,31391674,62744044,2000,3726293,303,525,0,22,33892463,67016341,2002,3903995
programs/neural_network/mnist/trace/vpython_mnist_00000600.txt,600,2500486,4271772,2,177680,31452074,62857244,2400,3729393,303,525,0,22,33952863,67129541,2402,3907095
programs/neural_network/mnist/trace/vpython_mnist_00000700.txt,700,2500486,4271772,2,177680,31512474,62970444,2800,3732493,303,525,0,22,34013263,67242741,2802,3910195
programs/neural_network/mnist/trace/vpython_mnist_00000800.txt,800,2500486,4271772,2,177680,31572874,63083644,3200,3735593,303,525,0,22,34073663,67355941,3202,3913295
programs/neural_network/mnist/trace/vpython_mnist_00000900.txt,900,2500486,4271772,2,177680,31633274,63196844,3600,3738693,303,525,0,22,34134063,67469141,3602,3916395
programs/neural_network/mnist/trace/vpython_mnist_00001000.txt,0,2500486,4271772,2,177680,31693674,63310044,4000,3741793,303,525,0,22,34194463,67582341,4002,3919495
programs/neural_network/mnist/trace/vpython_mnist_00002000.txt,0,2500486,4271772,2,177680,32297674,64442044,8000,3772793,303,525,0,22,34798463,68714341,8002,3950495
programs/neural_network/mnist/trace/vpython_mnist_00003000.txt,0,2500486,4271772,2,177680,32901674,65574044,12000,3803793,303,525,0,22,35402463,69846341,12002,3981495
programs/neural_network/mnist/trace/vpython_mnist_00004000.txt,0,2500486,4271772,2,177680,33505674,66706044,16000,3834793,303,525,0,22,36006463,70978341,16002,4012495
programs/neural_network/mnist/trace/vpython_mnist_00005000.txt,0,2500486,4271772,2,177680,34109674,67838044,20000,3865793,303,525,0,22,36610463,72110341,20002,4043495
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Test,,,,,,,,,,,,,,,,,
programs/neural_network/mnist/trace/vpython_mnist_00000026.txt,26,2500486,4271772,2,177680,31105378,62207476,104,3711599,303,525,0,22,33606167,66479773,106,3889301
programs/neural_network/mnist/trace/vpython_mnist_00000097.txt,97,2500486,4271772,2,177680,31148262,62287848,388,3713800,303,525,0,22,33649051,66560145,390,3891502
programs/neural_network/mnist/trace/vpython_mnist_00000150.txt,150,2500486,4271772,2,177680,31180274,62347844,600,3715443,303,525,0,22,33681063,66620141,602,3893145
programs/neural_network/mnist/trace/vpython_mnist_00000373.txt,373,2500486,4271772,2,177680,31314966,62600280,1492,3722356,303,525,0,22,33815755,66872577,1494,3900058
programs/neural_network/mnist/trace/vpython_mnist_00000642.txt,642,2500486,4271772,2,177680,31477442,62904788,2568,3730695,303,525,0,22,33978231,67177085,2570,3908397
programs/neural_network/mnist/trace/vpython_mnist_00001234.txt,234,2500486,4271772,2,177680,31835010,63574932,4936,3749047,303,525,0,22,34335799,67847229,4938,3926749
programs/neural_network/mnist/trace/vpython_mnist_00004101.txt,101,2500486,4271772,2,177680,33566678,66820376,16404,3837924,303,525,0,22,36067467,71092673,16406,4015626
programs/neural_network/mnist/trace/vpython_mnist_00004880.txt,880,2500486,4271772,2,177680,34037194,67702204,19520,3862073,303,525,0,22,36537983,71974501,19522,4039775



Collect again from 10 to 60 000
programs/neural_network/mnist/trace/vpython_mnist_00000010.txt,010,2500486,4271772,2,177680,31095714,62189364,40,3711103,303,525,0,22,33596503,66461661,42,3888805
programs/neural_network/mnist/trace/vpython_mnist_00000020.txt,020,2500486,4271772,2,177680,31101754,62200684,80,3711413,303,525,0,22,33602543,66472981,82,3889115
programs/neural_network/mnist/trace/vpython_mnist_00000030.txt,030,2500486,4271772,2,177680,31107794,62212004,120,3711723,303,525,0,22,33608583,66484301,122,3889425
