filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
linear_regression_real/trace_car_only/vpython_car_001.txt,1,2403181,4383483,124,164170,28890,56358,7,1334,186,336,0,17,2432257,4440177,131,165521
linear_regression_real/trace_car_only/vpython_car_002.txt,2,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_003.txt,3,2403190,4383498,124,164170,28890,56358,7,1334,186,336,0,17,2432266,4440192,131,165521
linear_regression_real/trace_car_only/vpython_car_004.txt,4,2403190,4383498,124,164170,28890,56358,7,1334,186,336,0,17,2432266,4440192,131,165521
linear_regression_real/trace_car_only/vpython_car_005.txt,5,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_006.txt,6,2403199,4383513,124,164170,28890,56358,7,1334,186,336,0,17,2432275,4440207,131,165521
linear_regression_real/trace_car_only/vpython_car_007.txt,7,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_008.txt,8,2403184,4383488,124,164170,28890,56358,7,1334,186,336,0,17,2432260,4440182,131,165521
linear_regression_real/trace_car_only/vpython_car_009.txt,9,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_010.txt,10,2403196,4383508,124,164170,28890,56358,7,1334,186,336,0,17,2432272,4440202,131,165521
linear_regression_real/trace_car_only/vpython_car_011.txt,11,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_012.txt,12,2403196,4383508,124,164170,28890,56358,7,1334,186,336,0,17,2432272,4440202,131,165521
linear_regression_real/trace_car_only/vpython_car_013.txt,13,2403169,4383463,124,164170,28890,56358,7,1334,186,336,0,17,2432245,4440157,131,165521
linear_regression_real/trace_car_only/vpython_car_014.txt,14,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_015.txt,15,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_016.txt,16,2403187,4383493,124,164170,28890,56358,7,1334,186,336,0,17,2432263,4440187,131,165521
linear_regression_real/trace_car_only/vpython_car_017.txt,17,2403163,4383453,124,164170,28890,56358,7,1334,186,336,0,17,2432239,4440147,131,165521
linear_regression_real/trace_car_only/vpython_car_018.txt,18,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_019.txt,19,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_020.txt,20,2403196,4383508,124,164170,28890,56358,7,1334,186,336,0,17,2432272,4440202,131,165521
linear_regression_real/trace_car_only/vpython_car_021.txt,21,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_022.txt,22,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_023.txt,23,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_024.txt,24,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_025.txt,25,2403169,4383463,124,164170,28890,56358,7,1334,186,336,0,17,2432245,4440157,131,165521
linear_regression_real/trace_car_only/vpython_car_026.txt,26,2403187,4383493,124,164170,28890,56358,7,1334,186,336,0,17,2432263,4440187,131,165521
linear_regression_real/trace_car_only/vpython_car_027.txt,27,2403181,4383483,124,164170,28890,56358,7,1334,186,336,0,17,2432257,4440177,131,165521
linear_regression_real/trace_car_only/vpython_car_028.txt,28,2403163,4383453,124,164170,28890,56358,7,1334,186,336,0,17,2432239,4440147,131,165521
linear_regression_real/trace_car_only/vpython_car_029.txt,29,2403196,4383508,124,164170,28890,56358,7,1334,186,336,0,17,2432272,4440202,131,165521
linear_regression_real/trace_car_only/vpython_car_030.txt,30,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_031.txt,31,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_032.txt,32,2403190,4383498,124,164170,28890,56358,7,1334,186,336,0,17,2432266,4440192,131,165521
linear_regression_real/trace_car_only/vpython_car_033.txt,33,2403193,4383503,124,164170,28890,56358,7,1334,186,336,0,17,2432269,4440197,131,165521
linear_regression_real/trace_car_only/vpython_car_034.txt,34,2403166,4383458,124,164170,28890,56358,7,1334,186,336,0,17,2432242,4440152,131,165521
linear_regression_real/trace_car_only/vpython_car_035.txt,35,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_036.txt,36,2403193,4383503,124,164170,28890,56358,7,1334,186,336,0,17,2432269,4440197,131,165521
linear_regression_real/trace_car_only/vpython_car_037.txt,37,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_038.txt,38,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_039.txt,39,2403163,4383453,124,164170,28890,56358,7,1334,186,336,0,17,2432239,4440147,131,165521
linear_regression_real/trace_car_only/vpython_car_040.txt,40,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_041.txt,41,2403196,4383508,124,164170,28890,56358,7,1334,186,336,0,17,2432272,4440202,131,165521
linear_regression_real/trace_car_only/vpython_car_042.txt,42,2403193,4383503,124,164170,28890,56358,7,1334,186,336,0,17,2432269,4440197,131,165521
linear_regression_real/trace_car_only/vpython_car_043.txt,43,2403205,4383523,124,164170,28890,56358,7,1334,186,336,0,17,2432281,4440217,131,165521
linear_regression_real/trace_car_only/vpython_car_044.txt,44,2403181,4383483,124,164170,28890,56358,7,1334,186,336,0,17,2432257,4440177,131,165521
linear_regression_real/trace_car_only/vpython_car_045.txt,45,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_046.txt,46,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_047.txt,47,2403187,4383493,124,164170,28890,56358,7,1334,186,336,0,17,2432263,4440187,131,165521
linear_regression_real/trace_car_only/vpython_car_048.txt,48,2403181,4383483,124,164170,28890,56358,7,1334,186,336,0,17,2432257,4440177,131,165521
linear_regression_real/trace_car_only/vpython_car_049.txt,49,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_050.txt,50,2403196,4383508,124,164170,28890,56358,7,1334,186,336,0,17,2432272,4440202,131,165521
linear_regression_real/trace_car_only/vpython_car_051.txt,51,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_052.txt,52,2403166,4383458,124,164170,28890,56358,7,1334,186,336,0,17,2432242,4440152,131,165521
linear_regression_real/trace_car_only/vpython_car_053.txt,53,2403187,4383493,124,164170,28890,56358,7,1334,186,336,0,17,2432263,4440187,131,165521
linear_regression_real/trace_car_only/vpython_car_054.txt,54,2403166,4383458,124,164170,28890,56358,7,1334,186,336,0,17,2432242,4440152,131,165521
linear_regression_real/trace_car_only/vpython_car_055.txt,55,2403199,4383513,124,164170,28890,56358,7,1334,186,336,0,17,2432275,4440207,131,165521
linear_regression_real/trace_car_only/vpython_car_056.txt,56,2403196,4383508,124,164170,28890,56358,7,1334,186,336,0,17,2432272,4440202,131,165521
linear_regression_real/trace_car_only/vpython_car_057.txt,57,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_058.txt,58,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_059.txt,59,2403190,4383498,124,164170,28890,56358,7,1334,186,336,0,17,2432266,4440192,131,165521
linear_regression_real/trace_car_only/vpython_car_060.txt,60,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_061.txt,61,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_062.txt,62,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_063.txt,63,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_064.txt,64,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_065.txt,65,2403187,4383493,124,164170,28890,56358,7,1334,186,336,0,17,2432263,4440187,131,165521
linear_regression_real/trace_car_only/vpython_car_066.txt,66,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_067.txt,67,2403166,4383458,124,164170,28890,56358,7,1334,186,336,0,17,2432242,4440152,131,165521
linear_regression_real/trace_car_only/vpython_car_068.txt,68,2403196,4383508,124,164170,28890,56358,7,1334,186,336,0,17,2432272,4440202,131,165521
linear_regression_real/trace_car_only/vpython_car_069.txt,69,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_070.txt,70,2403184,4383488,124,164170,28890,56358,7,1334,186,336,0,17,2432260,4440182,131,165521
linear_regression_real/trace_car_only/vpython_car_071.txt,71,2403187,4383493,124,164170,28890,56358,7,1334,186,336,0,17,2432263,4440187,131,165521
linear_regression_real/trace_car_only/vpython_car_072.txt,72,2403181,4383483,124,164170,28890,56358,7,1334,186,336,0,17,2432257,4440177,131,165521
linear_regression_real/trace_car_only/vpython_car_073.txt,73,2403193,4383503,124,164170,28890,56358,7,1334,186,336,0,17,2432269,4440197,131,165521
linear_regression_real/trace_car_only/vpython_car_074.txt,74,2403223,4383553,124,164170,28890,56358,7,1334,186,336,0,17,2432299,4440247,131,165521
linear_regression_real/trace_car_only/vpython_car_075.txt,75,2403187,4383493,124,164170,28890,56358,7,1334,186,336,0,17,2432263,4440187,131,165521
linear_regression_real/trace_car_only/vpython_car_076.txt,76,2403190,4383498,124,164170,28890,56358,7,1334,186,336,0,17,2432266,4440192,131,165521
linear_regression_real/trace_car_only/vpython_car_077.txt,77,2403211,4383533,124,164170,28890,56358,7,1334,186,336,0,17,2432287,4440227,131,165521
linear_regression_real/trace_car_only/vpython_car_078.txt,78,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_079.txt,79,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_080.txt,80,2403190,4383498,124,164170,28890,56358,7,1334,186,336,0,17,2432266,4440192,131,165521
linear_regression_real/trace_car_only/vpython_car_081.txt,81,2403187,4383493,124,164170,28890,56358,7,1334,186,336,0,17,2432263,4440187,131,165521
linear_regression_real/trace_car_only/vpython_car_082.txt,82,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_083.txt,83,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_084.txt,84,2403166,4383458,124,164170,28890,56358,7,1334,186,336,0,17,2432242,4440152,131,165521
linear_regression_real/trace_car_only/vpython_car_085.txt,85,2403208,4383528,124,164170,28890,56358,7,1334,186,336,0,17,2432284,4440222,131,165521
linear_regression_real/trace_car_only/vpython_car_086.txt,86,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_087.txt,87,2403202,4383518,124,164170,28890,56358,7,1334,186,336,0,17,2432278,4440212,131,165521
linear_regression_real/trace_car_only/vpython_car_088.txt,88,2403172,4383468,124,164170,28890,56358,7,1334,186,336,0,17,2432248,4440162,131,165521
linear_regression_real/trace_car_only/vpython_car_089.txt,89,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
