filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
linear_regression_real/trace_car_only/vpython_car_001.txt,001,2403175,4383473,124,164170,28890,56358,7,1334,186,336,0,17,2432251,4440167,131,165521
linear_regression_real/trace_car_only/vpython_car_002.txt,002,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_003.txt,003,2403181,4383483,124,164170,28890,56358,7,1334,186,336,0,17,2432257,4440177,131,165521
linear_regression_real/trace_car_only/vpython_car_004.txt,004,2403178,4383478,124,164170,28890,56358,7,1334,186,336,0,17,2432254,4440172,131,165521
linear_regression_real/trace_car_only/vpython_car_005.txt,005,2403202,4383518,124,164170,28890,56358,7,1334,186,336,0,17,2432278,4440212,131,165521



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
linear_regression_real/trace_diabetes_only/vpython_diabetes_001.txt,001,2865426,5025783,124,187096,26614,61554,0,1341,186,336,0,17,2892226,5087673,124,188454
linear_regression_real/trace_diabetes_only/vpython_diabetes_002.txt,002,2865411,5025758,124,187096,26614,61554,0,1341,186,336,0,17,2892211,5087648,124,188454
linear_regression_real/trace_diabetes_only/vpython_diabetes_003.txt,003,2865405,5025748,124,187096,26614,61554,0,1341,186,336,0,17,2892205,5087638,124,188454
linear_regression_real/trace_diabetes_only/vpython_diabetes_004.txt,004,2865405,5025748,124,187096,26614,61554,0,1341,186,336,0,17,2892205,5087638,124,188454
linear_regression_real/trace_diabetes_only/vpython_diabetes_005.txt,005,2865420,5025773,124,187096,26614,61554,0,1341,186,336,0,17,2892220,5087663,124,188454



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
linear_regression_real/trace_energy_only/vpython_energy_001.txt,001,2403184,4383488,124,164170,24295,46869,6,1121,186,336,0,17,2427665,4430693,130,165308
linear_regression_real/trace_energy_only/vpython_energy_002.txt,002,2403181,4383483,124,164170,24295,46869,6,1121,186,336,0,17,2427662,4430688,130,165308
linear_regression_real/trace_energy_only/vpython_energy_003.txt,003,2403187,4383493,124,164170,24295,46869,6,1121,186,336,0,17,2427668,4430698,130,165308
linear_regression_real/trace_energy_only/vpython_energy_004.txt,004,2403187,4383493,124,164170,24295,46869,6,1121,186,336,0,17,2427668,4430698,130,165308
linear_regression_real/trace_energy_only/vpython_energy_005.txt,005,2403166,4383458,124,164170,24295,46869,6,1121,186,336,0,17,2427647,4430663,130,165308



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
linear_regression_real/trace_house_only/vpython_house_001.txt,001,2403187,4383493,124,164170,41205,82737,2,1958,186,336,0,17,2444578,4466566,126,166145
linear_regression_real/trace_house_only/vpython_house_002.txt,002,2403172,4383468,124,164170,41205,82737,2,1958,186,336,0,17,2444563,4466541,126,166145
linear_regression_real/trace_house_only/vpython_house_003.txt,003,2403184,4383488,124,164170,41205,82737,2,1958,186,336,0,17,2444575,4466561,126,166145
linear_regression_real/trace_house_only/vpython_house_004.txt,004,2403166,4383458,124,164170,41205,82737,2,1958,186,336,0,17,2444557,4466531,126,166145
linear_regression_real/trace_house_only/vpython_house_005.txt,005,2403187,4383493,124,164170,41205,82737,2,1958,186,336,0,17,2444578,4466566,126,166145



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
linear_regression_real/trace_medical_only/vpython_medical_001.txt,001,2403193,4383503,124,164170,23174,44586,5,1077,186,336,0,17,2426553,4428425,129,165264
linear_regression_real/trace_medical_only/vpython_medical_002.txt,002,2403172,4383468,124,164170,23174,44586,5,1077,186,336,0,17,2426532,4428390,129,165264
linear_regression_real/trace_medical_only/vpython_medical_003.txt,003,2403181,4383483,124,164170,23174,44586,5,1077,186,336,0,17,2426541,4428405,129,165264
linear_regression_real/trace_medical_only/vpython_medical_004.txt,004,2403184,4383488,124,164170,23174,44586,5,1077,186,336,0,17,2426544,4428410,129,165264
linear_regression_real/trace_medical_only/vpython_medical_005.txt,005,2403196,4383508,124,164170,23174,44586,5,1077,186,336,0,17,2426556,4428430,129,165264



