filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_car/vpython_car_001.txt,001,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_002.txt,002,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_003.txt,003,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_004.txt,004,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_005.txt,005,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_006.txt,006,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_007.txt,007,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_008.txt,008,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_009.txt,009,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_010.txt,010,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020



filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
neural_network/trace_car/vpython_car_001.txt,001,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_002.txt,002,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_003.txt,003,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_004.txt,004,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_005.txt,005,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_006.txt,006,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_007.txt,007,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_008.txt,008,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_009.txt,009,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_010.txt,010,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_011.txt,011,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_012.txt,012,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_013.txt,013,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_014.txt,014,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_015.txt,015,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_016.txt,016,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
neural_network/trace_car/vpython_car_017.txt,017,1443146,2486150,2,96982,75440,133027,9,3017,192,335,0,21,1518778,2619512,11,100020
