filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
linear_regression_real/trace_car_testResult/vpython_car_001.txt,001,2359573,4312875,124,161546,34154,66643,9,1698,186,336,0,17,2393913,4379854,133,163261
linear_regression_real/trace_car_testResult/vpython_car_002.txt,002,2359564,4312860,124,161546,34154,66643,9,1698,186,336,0,17,2393904,4379839,133,163261
linear_regression_real/trace_car_testResult/vpython_car_003.txt,003,2359582,4312890,124,161546,34154,66643,9,1698,186,336,0,17,2393922,4379869,133,163261
linear_regression_real/trace_car_testResult/vpython_car_004.txt,004,2359579,4312885,124,161546,34154,66643,9,1698,186,336,0,17,2393919,4379864,133,163261
linear_regression_real/trace_car_testResult/vpython_car_005.txt,005,2359588,4312900,124,161546,34154,66643,9,1698,186,336,0,17,2393928,4379879,133,163261
linear_regression_real/trace_car_testResult/vpython_car_006.txt,006,2359576,4312880,124,161546,34154,66643,9,1698,186,336,0,17,2393916,4379859,133,163261
linear_regression_real/trace_car_testResult/vpython_car_007.txt,007,2359585,4312895,124,161546,34154,66643,9,1698,186,336,0,17,2393925,4379874,133,163261
linear_regression_real/trace_car_testResult/vpython_car_008.txt,008,2359567,4312865,124,161546,34154,66643,9,1698,186,336,0,17,2393907,4379844,133,163261
linear_regression_real/trace_car_testResult/vpython_car_009.txt,009,2359585,4312895,124,161546,34154,66643,9,1698,186,336,0,17,2393925,4379874,133,163261
linear_regression_real/trace_car_testResult/vpython_car_010.txt,010,2359561,4312855,124,161546,34154,66643,9,1698,186,336,0,17,2393901,4379834,133,163261



