
filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/weather/trace/vpython_001.txt,001,2361745,4316888,124,161698,24879,47805,2,1170,186,336,0,17,2386810,4365029,126,162885
programs/weather/trace/vpython_002.txt,002,2361748,4316893,124,161698,24879,47805,2,1170,186,336,0,17,2386813,4365034,126,162885
programs/weather/trace/vpython_003.txt,003,2361742,4316883,124,161698,24879,47805,2,1170,186,336,0,17,2386807,4365024,126,162885
programs/weather/trace/vpython_004.txt,004,2361724,4316853,124,161698,24879,47805,2,1170,186,336,0,17,2386789,4364994,126,162885
programs/weather/trace/vpython_005.txt,005,2361745,4316888,124,161698,24879,47805,2,1170,186,336,0,17,2386810,4365029,126,162885
programs/weather/trace/vpython_006.txt,006,2361724,4316853,124,161698,24879,47805,2,1170,186,336,0,17,2386789,4364994,126,162885
programs/weather/trace/vpython_007.txt,007,2361721,4316848,124,161698,24879,47805,2,1170,186,336,0,17,2386786,4364989,126,162885
programs/weather/trace/vpython_008.txt,008,2361742,4316883,124,161698,24879,47805,2,1170,186,336,0,17,2386807,4365024,126,162885
programs/weather/trace/vpython_009.txt,009,2361724,4316853,124,161698,24879,47805,2,1170,186,336,0,17,2386789,4364994,126,162885
programs/weather/trace/vpython_010.txt,010,2361742,4316883,124,161698,24879,47805,2,1170,186,336,0,17,2386807,4365024,126,162885
programs/weather/trace/vpython_011.txt,011,2361730,4316863,124,161698,24879,47805,2,1170,186,336,0,17,2386795,4365004,126,162885
programs/weather/trace/vpython_012.txt,012,2361748,4316893,124,161698,24879,47805,2,1170,186,336,0,17,2386813,4365034,126,162885
programs/weather/trace/vpython_013.txt,013,2361730,4316863,124,161698,24879,47805,2,1170,186,336,0,17,2386795,4365004,126,162885
programs/weather/trace/vpython_014.txt,014,2361733,4316868,124,161698,24879,47805,2,1170,186,336,0,17,2386798,4365009,126,162885
programs/weather/trace/vpython_015.txt,015,2361721,4316848,124,161698,24879,47805,2,1170,186,336,0,17,2386786,4364989,126,162885
programs/weather/trace/vpython_016.txt,016,2361751,4316898,124,161698,24879,47805,2,1170,186,336,0,17,2386816,4365039,126,162885
programs/weather/trace/vpython_017.txt,017,2361739,4316878,124,161698,24879,47805,2,1170,186,336,0,17,2386804,4365019,126,162885
programs/weather/trace/vpython_018.txt,018,2361727,4316858,124,161698,24879,47805,2,1170,186,336,0,17,2386792,4364999,126,162885
programs/weather/trace/vpython_019.txt,019,2361736,4316873,124,161698,24879,47805,2,1170,186,336,0,17,2386801,4365014,126,162885
programs/weather/trace/vpython_020.txt,020,2361733,4316868,124,161698,24879,47805,2,1170,186,336,0,17,2386798,4365009,126,162885
programs/weather/trace/vpython_021.txt,021,2361745,4316888,124,161698,24879,47805,2,1170,186,336,0,17,2386810,4365029,126,162885
programs/weather/trace/vpython_022.txt,022,2361724,4316853,124,161698,24879,47805,2,1170,186,336,0,17,2386789,4364994,126,162885
programs/weather/trace/vpython_023.txt,023,2361745,4316888,124,161698,24879,47805,2,1170,186,336,0,17,2386810,4365029,126,162885
programs/weather/trace/vpython_024.txt,024,2361733,4316868,124,161698,24879,47805,2,1170,186,336,0,17,2386798,4365009,126,162885
programs/weather/trace/vpython_025.txt,025,2361751,4316898,124,161698,24879,47805,2,1170,186,336,0,17,2386816,4365039,126,162885
programs/weather/trace/vpython_026.txt,026,2361739,4316878,124,161698,24879,47805,2,1170,186,336,0,17,2386804,4365019,126,162885
programs/weather/trace/vpython_027.txt,027,2361745,4316888,124,161698,24879,47805,2,1170,186,336,0,17,2386810,4365029,126,162885
programs/weather/trace/vpython_028.txt,028,2361733,4316868,124,161698,24879,47805,2,1170,186,336,0,17,2386798,4365009,126,162885
programs/weather/trace/vpython_029.txt,029,2361736,4316873,124,161698,24879,47805,2,1170,186,336,0,17,2386801,4365014,126,162885
programs/weather/trace/vpython_030.txt,030,2361724,4316853,124,161698,24891,47823,2,1171,186,336,0,17,2386801,4365012,126,162886
programs/weather/trace/vpython_031.txt,031,2361751,4316898,124,161698,24891,47823,2,1171,186,336,0,17,2386828,4365057,126,162886
programs/weather/trace/vpython_032.txt,032,2361757,4316908,124,161698,24903,47841,2,1172,186,336,0,17,2386846,4365085,126,162887
programs/weather/trace/vpython_033.txt,033,2361733,4316868,124,161698,24903,47841,2,1172,186,336,0,17,2386822,4365045,126,162887
programs/weather/trace/vpython_034.txt,034,2361754,4316903,124,161698,24903,47841,2,1172,186,336,0,17,2386843,4365080,126,162887
programs/weather/trace/vpython_035.txt,035,2361733,4316868,124,161698,24915,47859,2,1173,186,336,0,17,2386834,4365063,126,162888
programs/weather/trace/vpython_036.txt,036,2361757,4316908,124,161698,24915,47859,2,1173,186,336,0,17,2386858,4365103,126,162888
programs/weather/trace/vpython_037.txt,037,2361736,4316873,124,161698,24927,47877,2,1174,186,336,0,17,2386849,4365086,126,162889



