row,column,pop_in_A
10,2,24886
20,2,25508
50,2,25508
75,2,25508
100,2,25508
250,2,25508
500,2,25508
750,2,25508
1000,2,25508
2500,2,25508
5000,2,25508
7500,2,25508
10000,2,25508
25000,2,25508
50000,2,25508
75000,2,25520
100000,2,25520
250000,2,25556
500000,2,25646
750000,2,25748
1000000,2,25838
1250000,2,25940
1500000,2,26030
1750000,2,26132
2000000,2,26222
10,3,25249
20,3,25871
50,3,25871
75,3,25871
100,3,25871
250,3,25871
500,3,25871
750,3,25871
1000,3,25871
2500,3,25871
5000,3,25871
7500,3,25871
10000,3,25871
25000,3,25871
50000,3,25883
75000,3,25883
100000,3,25895
250000,3,25943
500000,3,26090
750000,3,26225
1000000,3,26372
1250000,3,26507
1500000,3,26654
1750000,3,26801
2000000,3,26936
10,4,25666
20,4,26288
50,4,26288
75,4,26288
100,4,26288
250,4,26288
500,4,26288
750,4,26288
1000,4,26288
2500,4,26288
5000,4,26288
7500,4,26288
10000,4,26288
25000,4,26288
50000,4,26300
75000,4,26312
100000,4,26324
250000,4,26468
500000,4,26744
750000,4,27008
1000000,4,27284
1250000,4,27560
1500000,4,27824
1750000,4,28100
2000000,4,28376
10,5,26083
20,5,26705
50,5,26705
75,5,26705
100,5,26705
250,5,26705
500,5,26705
750,5,26705
1000,5,26705
2500,5,26705
5000,5,26705
7500,5,26705
10000,5,26705
25000,5,26717
50000,5,26729
75000,5,26741
100000,5,26753
250000,5,26930
500000,5,27272
750000,5,27602
1000000,5,27944
1250000,5,28274
1500000,5,28616
1750000,5,28958
2000000,5,29288
10,6,26500
20,6,27122
50,6,27122
75,6,27122
100,6,27122
250,6,27122
500,6,27122
750,6,27122
1000,6,27122
2500,6,27122
5000,6,27122
7500,6,27122
10000,6,27122
25000,6,27134
50000,6,27146
75000,6,27158
100000,6,27170
250000,6,27392
500000,6,27788
750000,6,28196
1000000,6,28592
1250000,6,29000
1500000,6,29396
1750000,6,29804
2000000,6,30200
10,7,26917
20,7,27539
50,7,27539
75,7,27539
100,7,27539
250,7,27539
500,7,27539
750,7,27539
1000,7,27539
2500,7,27539
5000,7,27539
7500,7,27539
10000,7,27539
25000,7,27551
50000,7,27563
75000,7,27587
100000,7,27599
250000,7,27854
500000,7,28316
750000,7,28790
1000000,7,29252
1250000,7,29714
1500000,7,30188
1750000,7,30650
2000000,7,31124
