filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/weather/trace/vpython_001.txt,1,2361745,4316888,124,161698,24879,47805,2,1170,186,336,0,17,2386810,4365029,126,162885
programs/weather/trace/vpython_002.txt,2,2361748,4316893,124,161698,24879,47805,2,1170,186,336,0,17,2386813,4365034,126,162885
programs/weather/trace/vpython_003.txt,3,2361742,4316883,124,161698,24879,47805,2,1170,186,336,0,17,2386807,4365024,126,162885
programs/weather/trace/vpython_004.txt,4,2361724,4316853,124,161698,24879,47805,2,1170,186,336,0,17,2386789,4364994,126,162885
programs/weather/trace/vpython_005.txt,5,2361745,4316888,124,161698,24879,47805,2,1170,186,336,0,17,2386810,4365029,126,162885
programs/weather/trace/vpython_006.txt,6,2361724,4316853,124,161698,24879,47805,2,1170,186,336,0,17,2386789,4364994,126,162885
programs/weather/trace/vpython_007.txt,7,2361721,4316848,124,161698,24879,47805,2,1170,186,336,0,17,2386786,4364989,126,162885
programs/weather/trace/vpython_008.txt,8,2361742,4316883,124,161698,24879,47805,2,1170,186,336,0,17,2386807,4365024,126,162885
programs/weather/trace/vpython_009.txt,9,2361724,4316853,124,161698,24879,47805,2,1170,186,336,0,17,2386789,4364994,126,162885
programs/weather/trace/vpython_010.txt,10,2361742,4316883,124,161698,24879,47805,2,1170,186,336,0,17,2386807,4365024,126,162885
programs/weather/trace/vpython_011.txt,11,2361730,4316863,124,161698,24879,47805,2,1170,186,336,0,17,2386795,4365004,126,162885
programs/weather/trace/vpython_012.txt,12,2361748,4316893,124,161698,24879,47805,2,1170,186,336,0,17,2386813,4365034,126,162885
programs/weather/trace/vpython_013.txt,13,2361730,4316863,124,161698,24879,47805,2,1170,186,336,0,17,2386795,4365004,126,162885
programs/weather/trace/vpython_014.txt,14,2361733,4316868,124,161698,24879,47805,2,1170,186,336,0,17,2386798,4365009,126,162885
programs/weather/trace/vpython_015.txt,15,2361721,4316848,124,161698,24879,47805,2,1170,186,336,0,17,2386786,4364989,126,162885
programs/weather/trace/vpython_016.txt,16,2361751,4316898,124,161698,24879,47805,2,1170,186,336,0,17,2386816,4365039,126,162885
programs/weather/trace/vpython_017.txt,17,2361739,4316878,124,161698,24879,47805,2,1170,186,336,0,17,2386804,4365019,126,162885
programs/weather/trace/vpython_018.txt,18,2361727,4316858,124,161698,24879,47805,2,1170,186,336,0,17,2386792,4364999,126,162885
programs/weather/trace/vpython_019.txt,19,2361736,4316873,124,161698,24879,47805,2,1170,186,336,0,17,2386801,4365014,126,162885
programs/weather/trace/vpython_020.txt,20,2361733,4316868,124,161698,24879,47805,2,1170,186,336,0,17,2386798,4365009,126,162885
programs/weather/trace/vpython_021.txt,21,2361745,4316888,124,161698,24879,47805,2,1170,186,336,0,17,2386810,4365029,126,162885
programs/weather/trace/vpython_022.txt,22,2361724,4316853,124,161698,24879,47805,2,1170,186,336,0,17,2386789,4364994,126,162885
