

pop
car,2335673,2335676,2335676,2335661,2335664,2335685,2335655,2335679,2335676,2335673,2335682,2335697,2335664,2335667,2335670,2335700,2335658,2335679,2335655,2335673,2335670,2335661,2335655,2335670,2335685,2335676,2335679,2335661,2335676,2335667,2335688,2335658,2335676,2335673,2335670,2335694,2335667,2335667,2335673,2335673,2335676,2335658,2335694,2335679,2335661,2335679,2335658,2335667,2335664,2335673,2335679,2335673,2335667,2335667,2335676,2335670,2335658,2335676,2335667,2335655,2335670,2335667,2335676,2335673,2335658,2335670,2335691,2335655,2335664,2335661,2335676,2335658,2335682,2335661,2335670,2335676,2335667,2335676,2335676,2335661,2335655,2335658,2335676,2335658,2335658,2335664,2335670,2335667,2335673,2335670,2335661,2335688,2335682,2335661,2335661,2335685,2335682,2335670,2335670,2335667,2335667,
diabetes,2562462,2562471,2562450,2562450,2562462,2562462,2562444,2562477,2562459,2562459,2562447,2562453,2562450,2562462,2562471,2562462,2562483,2562459,2562480,2562456,2562471,2562465,2562450,2562465,2562468,2562465,2562483,2562468,2562456,2562480,2562462,2562459,2562465,2562459,2562462,2562456,2562459,2562480,2562444,2562465,2562453,2562468,2562483,2562453,2562453,2562468,2562465,2562453,2562465,2562465,2562465,2562450,2562465,2562465,2562465,2562453,2562456,2562471,2562462,2562456,2562468,2562456,2562456,2562450,2562459,2562459,2562450,2562477,2562462,2562474,2562459,2562474,2562459,2562459,2562456,2562471,2562459,2562456,2562465,2562462,2562465,2562453,2562456,2562483,2562450,2562453,2562477,2562453,2562465,2562456,2562444,2562480,2562468,2562471,2562456,2562462,2562456,2562468,2562456,2562477,2562465,
energy,2331057,2331069,2331075,2331075,2331072,2331063,2331081,2331075,2331075,2331081,2331069,2331087,2331072,2331063,2331078,2331066,2331087,2331096,2331069,2331081,2331072,2331069,2331078,2331072,2331084,2331063,2331075,2331075,2331063,2331072,2331087,2331078,2331081,2331090,2331084,2331090,2331075,2331072,2331066,2331078,2331072,2331084,2331063,2331093,2331087,2331063,2331075,2331075,2331072,2331072,2331066,2331087,2331078,2331063,2331060,2331066,2331078,2331057,2331063,2331087,2331075,2331063,2331069,2331072,2331081,2331072,2331093,2331066,2331072,2331075,2331063,2331090,2331072,2331078,2331069,2331078,2331078,2331081,2331075,2331069,2331078,2331060,2331069,2331081,2331075,2331069,2331078,2331066,2331093,2331075,2331075,2331087,2331075,2331087,2331087,2331069,2331075,2331063,2331072,2331078,2331072,
house,2347985,2347991,2347985,2347991,2347988,2347976,2347982,2347988,2347979,2347988,2347979,2347988,2347994,2348000,2347994,2347982,2347988,2347985,2347979,2347985,2347973,2347976,2347985,2347967,2347982,2347985,2347976,2347976,2347982,2347985,2347988,2347976,2347994,2347994,2347973,2347976,2347973,2347973,2347985,2347994,2348012,2347979,2348012,2347976,2347985,2347976,2347970,2347979,2347979,2347976,2347982,2347973,2347982,2347991,2347982,2348009,2347985,2347982,2347985,2347982,2347988,2347991,2347979,2348000,2347976,2347985,2347985,2347985,2347970,2347988,2347976,2347976,2347988,2347976,2347985,2347988,2347985,2347991,2347982,2347982,2347973,2348006,2348000,2347985,2347979,2347976,2347991,2347994,2347988,2347976,2347985,2347979,2347976,2348006,2347973,2347979,2347985,2347985,2347985,2347976,2348003,
medical,2329957,2329942,2329954,2329942,2329948,2329939,2329966,2329951,2329972,2329945,2329945,2329954,2329942,2329951,2329966,2329951,2329948,2329945,2329972,2329954,2329945,2329939,2329939,2329936,2329954,2329948,2329960,2329951,2329969,2329948,2329954,2329957,2329948,2329945,2329954,2329951,2329945,2329954,2329960,2329942,2329951,2329954,2329951,2329966,2329957,2329960,2329951,2329963,2329954,2329948,2329966,2329960,2329948,2329966,2329966,2329951,2329948,2329951,2329948,2329945,2329957,2329957,2329945,2329942,2329954,2329948,2329972,2329954,2329960,2329954,2329942,2329948,2329936,2329957,2329954,2329954,2329954,2329942,2329960,2329939,2329945,2329939,2329951,2329945,2329942,2329939,2329942,2329963,2329960,2329960,2329960,2329939,2329945,2329954,2329960,2329939,2329948,2329972,2329954,2329945,2329939,


push
car,4256857,4256862,4256862,4256837,4256842,4256877,4256827,4256867,4256862,4256857,4256872,4256897,4256842,4256847,4256852,4256902,4256832,4256867,4256827,4256857,4256852,4256837,4256827,4256852,4256877,4256862,4256867,4256837,4256862,4256847,4256882,4256832,4256862,4256857,4256852,4256892,4256847,4256847,4256857,4256857,4256862,4256832,4256892,4256867,4256837,4256867,4256832,4256847,4256842,4256857,4256867,4256857,4256847,4256847,4256862,4256852,4256832,4256862,4256847,4256827,4256852,4256847,4256862,4256857,4256832,4256852,4256887,4256827,4256842,4256837,4256862,4256832,4256872,4256837,4256852,4256862,4256847,4256862,4256862,4256837,4256827,4256832,4256862,4256832,4256832,4256842,4256852,4256847,4256857,4256852,4256837,4256882,4256872,4256837,4256837,4256877,4256872,4256852,4256852,4256847,4256847,
diabetes,4627349,4627364,4627329,4627329,4627349,4627349,4627319,4627374,4627344,4627344,4627324,4627334,4627329,4627349,4627364,4627349,4627384,4627344,4627379,4627339,4627364,4627354,4627329,4627354,4627359,4627354,4627384,4627359,4627339,4627379,4627349,4627344,4627354,4627344,4627349,4627339,4627344,4627379,4627319,4627354,4627334,4627359,4627384,4627334,4627334,4627359,4627354,4627334,4627354,4627354,4627354,4627329,4627354,4627354,4627354,4627334,4627339,4627364,4627349,4627339,4627359,4627339,4627339,4627329,4627344,4627344,4627329,4627374,4627349,4627369,4627344,4627369,4627344,4627344,4627339,4627364,4627344,4627339,4627354,4627349,4627354,4627334,4627339,4627384,4627329,4627334,4627374,4627334,4627354,4627339,4627319,4627379,4627359,4627364,4627339,4627349,4627339,4627359,4627339,4627374,4627354,
energy,4247333,4247353,4247363,4247363,4247358,4247343,4247373,4247363,4247363,4247373,4247353,4247383,4247358,4247343,4247368,4247348,4247383,4247398,4247353,4247373,4247358,4247353,4247368,4247358,4247378,4247343,4247363,4247363,4247343,4247358,4247383,4247368,4247373,4247388,4247378,4247388,4247363,4247358,4247348,4247368,4247358,4247378,4247343,4247393,4247383,4247343,4247363,4247363,4247358,4247358,4247348,4247383,4247368,4247343,4247338,4247348,4247368,4247333,4247343,4247383,4247363,4247343,4247353,4247358,4247373,4247358,4247393,4247348,4247358,4247363,4247343,4247388,4247358,4247368,4247353,4247368,4247368,4247373,4247363,4247353,4247368,4247338,4247353,4247373,4247363,4247353,4247368,4247348,4247393,4247363,4247363,4247383,4247363,4247383,4247383,4247353,4247363,4247343,4247358,4247368,4247358,
house,4283231,4283241,4283231,4283241,4283236,4283216,4283226,4283236,4283221,4283236,4283221,4283236,4283246,4283256,4283246,4283226,4283236,4283231,4283221,4283231,4283211,4283216,4283231,4283201,4283226,4283231,4283216,4283216,4283226,4283231,4283236,4283216,4283246,4283246,4283211,4283216,4283211,4283211,4283231,4283246,4283276,4283221,4283276,4283216,4283231,4283216,4283206,4283221,4283221,4283216,4283226,4283211,4283226,4283241,4283226,4283271,4283231,4283226,4283231,4283226,4283236,4283241,4283221,4283256,4283216,4283231,4283231,4283231,4283206,4283236,4283216,4283216,4283236,4283216,4283231,4283236,4283231,4283241,4283226,4283226,4283211,4283266,4283256,4283231,4283221,4283216,4283241,4283246,4283236,4283216,4283231,4283221,4283216,4283266,4283211,4283221,4283231,4283231,4283231,4283216,4283261,
medical,4245085,4245060,4245080,4245060,4245070,4245055,4245100,4245075,4245110,4245065,4245065,4245080,4245060,4245075,4245100,4245075,4245070,4245065,4245110,4245080,4245065,4245055,4245055,4245050,4245080,4245070,4245090,4245075,4245105,4245070,4245080,4245085,4245070,4245065,4245080,4245075,4245065,4245080,4245090,4245060,4245075,4245080,4245075,4245100,4245085,4245090,4245075,4245095,4245080,4245070,4245100,4245090,4245070,4245100,4245100,4245075,4245070,4245075,4245070,4245065,4245085,4245085,4245065,4245060,4245080,4245070,4245110,4245080,4245090,4245080,4245060,4245070,4245050,4245085,4245080,4245080,4245080,4245060,4245090,4245055,4245065,4245055,4245075,4245065,4245060,4245055,4245060,4245095,4245090,4245090,4245090,4245055,4245065,4245080,4245090,4245055,4245070,4245110,4245080,4245065,4245055,


execution time
