filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total,push_total,sgrow_total,sshrink_total
linear_regression_additional/trace_car_only/vpython_LRcar_001.txt,1,2306610,4200183,124,157711,28898,56372,7,1334,189,340,0,18,2335697,4256895,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_002.txt,2,2306580,4200133,124,157711,28898,56372,7,1334,189,340,0,18,2335667,4256845,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_003.txt,3,2306601,4200168,124,157711,28898,56372,7,1334,189,340,0,18,2335688,4256880,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_004.txt,4,2306619,4200198,124,157711,28898,56372,7,1334,189,340,0,18,2335706,4256910,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_005.txt,5,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_006.txt,6,2306619,4200198,124,157711,28898,56372,7,1334,189,340,0,18,2335706,4256910,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_007.txt,7,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_008.txt,8,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_009.txt,9,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_010.txt,10,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_011.txt,11,2306604,4200173,124,157711,28898,56372,7,1334,189,340,0,18,2335691,4256885,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_012.txt,12,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_013.txt,13,2306610,4200183,124,157711,28898,56372,7,1334,189,340,0,18,2335697,4256895,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_014.txt,14,2306595,4200158,124,157711,28898,56372,7,1334,189,340,0,18,2335682,4256870,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_015.txt,15,2306610,4200183,124,157711,28898,56372,7,1334,189,340,0,18,2335697,4256895,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_016.txt,16,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_LRcar_017.txt,17,2306601,4200168,124,157711,28898,56372,7,1334,189,340,0,18,2335688,4256880,131,159063
