pop
car,2335673,2335676,2335676,2335661,2335664,2335685,2335655,2335679,2335676,2335673,2335682,2335697,2335664,2335667,2335670,2335700,2335658,2335679,2335655,2335673,2335670,2335661,2335655,2335670,2335685,2335676,2335679,2335661,2335676,2335667,2335688,2335658,2335676,2335673,2335670,2335694,2335667,2335667,2335673,2335673,2335676,2335658,2335694,2335679,2335661,2335679,2335658,2335667,2335664,2335673,2335679,2335673,2335667,2335667,2335676,2335670,2335658,2335676,2335667,2335655,2335670,2335667,2335676,2335673,2335658,2335670,2335691,2335655,2335664,2335661,2335676,2335658,2335682,2335661,2335670,2335676,2335667,2335676,2335676,2335661,2335655,2335658,2335676,2335658,2335658,2335664,2335670,2335667,2335673,2335670,2335661,2335688,2335682,2335661,2335661,2335685,2335682,2335670,2335670,2335667,2335667,2329939,2335673,2335679,2335673,2335664,2335664,2335676,2335694,2335670,2335676,2335670,2335667,2335661,2335676,2335667,2335688,2335676,2335670,2335661,2335664,2335682,2335664,2335667,2335673,2335670,2335655,2335655,2335667,2335661,2335661,2335694,2335664,2335673,2335670,2335658,2335664,2335661,2335685,2335670,2335670,2335667,2335682,2335670,2335661,2335661,2335685,2335664,2335664,2335676,2335667,2335673,2335664,2335664,2335673,2335664,2335667,2335667,2335691,2335685,2335664,2335673,2335655,2335679,2335676,2335670,2335655,2335673,2335682,2335670,2335673,2335658,2335664,2335679,2335688,2335664,2335673,2335670,2335667,2335652,2335670,2335670,2335661,2335658,2335682,2335673,2335670,2335661,2335661,2335673,2335661,2335661,2335673,2335658,2335664,2335667,2335661,2335688,2335655,2335673,2335664,2335658,2335664,2335655,2335658,2335664,2335685,2335676,2335676,2335673,2335667,2335655,2335676,2335667,2335673,2335670,2335682,2335664,2335667,2335673,2335673,2335673,2335679,2335676,2335679,2335667,2335685,2335679,2335658,2335667,2335688,2335661,2335676,2335670,2335670,2335673,2335667,2335667,2335673,2335664,2335673,2335670,2335670,2335655,2335658,2335670,2335685,2335664,2335664,2335670,2335664,2335661,2335673,2335664,2335664,2335679,2335694,2335667,2335679,2335688,2335679,2335691,2335673,2335667,2335655,2335667,2335658,2335670,2335664,2335655,2335664,2335664,2335667,2335664,2335670,2335661,2335661,2335667,2335667,2335688,2335664,2335670,2335658,2335676,2335661,2335670,2335673,2335700,2335658,2335661,2335679,2335661,2335673,2335673,2335673,2335661,2335664,2335658,2335670,2335688,2335676
diabetes,2562462,2562471,2562450,2562450,2562462,2562462,2562444,2562477,2562459,2562459,2562447,2562453,2562450,2562462,2562471,2562462,2562483,2562459,2562480,2562456,2562471,2562465,2562450,2562465,2562468,2562465,2562483,2562468,2562456,2562480,2562462,2562459,2562465,2562459,2562462,2562456,2562459,2562480,2562444,2562465,2562453,2562468,2562483,2562453,2562453,2562468,2562465,2562453,2562465,2562465,2562465,2562450,2562465,2562465,2562465,2562453,2562456,2562471,2562462,2562456,2562468,2562456,2562456,2562450,2562459,2562459,2562450,2562477,2562462,2562474,2562459,2562474,2562459,2562459,2562456,2562471,2562459,2562456,2562465,2562462,2562465,2562453,2562456,2562483,2562450,2562453,2562477,2562453,2562465,2562456,2562444,2562480,2562468,2562471,2562456,2562462,2562456,2562468,2562456,2562477,2562465,2562477,2562453,2562459,2562465,2562453,2562462,2562453,2562453,2562477,2562456,2562450,2562456,2562462,2562459,2562465,2562462,2562447,2562468,2562450,2562465,2562468,2562453,2562465,2562456,2562462,2562450,2562456,2562456,2562456,2562462,2562474,2562459,2562456,2562462,2562462,2562468,2562465,2562477,2562471,2562474,2562468,2562456,2562456,2562450,2562462,2562462,2562459,2562450,2562450,2562462,2562459,2562453,2562468,2562450,2562450,2562459,2562474,2562450,2562453,2562468,2562459,2562456,2562480,2562456,2562456,2562456,2562459,2562456,2562453,2562495,2562456,2562450,2562453,2562459,2562453,2562465,2562468,2562468,2562456,2562456,2562462,2562462,2562456,2562444,2562471,2562456,2562459,2562462,2562456,2562468,2562459,2562450,2562450,2562450,2562462,2562462,2562480,2562462,2562456,2562468,2562453,2562471,2562456,2562462,2562474,2562477,2562462,2562471,2562462,2562453,2562456,2562462,2562450,2562459,2562456,2562450,2562453,2562453,2562471,2562450,2562477,2562453,2562447,2562462,2562465,2562462,2562471,2562468,2562459,2562465,2562462,2562477,2562453,2562453,2562474,2562471,2562447,2562444,2562468,2562471,2562447,2562453,2562474,2562474,2562465,2562453,2562459,2562471,2562447,2562474,2562456,2562453,2562468,2562462,2562462,2562456,2562465,2562447,2562453,2562453,2562447,2562447,2562477,2562453,2562465,2562462,2562453,2562450,2562462,2562450,2562474,2562453,2562465,2562465,2562462,2562450,2562462,2562477,2562471,2562456,2562450,2562450,2562453,2562456,2562459,2562465,2562459,2562471,2562489,2562471,2562447,2562468,2562462,2562474,2562465,2562459,2562456,2562456,2562450,2562459
energy,2331057,2331069,2331075,2331075,2331072,2331063,2331081,2331075,2331075,2331081,2331069,2331087,2331072,2331063,2331078,2331066,2331087,2331096,2331069,2331081,2331072,2331069,2331078,2331072,2331084,2331063,2331075,2331075,2331063,2331072,2331087,2331078,2331081,2331090,2331084,2331090,2331075,2331072,2331066,2331078,2331072,2331084,2331063,2331093,2331087,2331063,2331075,2331075,2331072,2331072,2331066,2331087,2331078,2331063,2331060,2331066,2331078,2331057,2331063,2331087,2331075,2331063,2331069,2331072,2331081,2331072,2331093,2331066,2331072,2331075,2331063,2331090,2331072,2331078,2331069,2331078,2331078,2331081,2331075,2331069,2331078,2331060,2331069,2331081,2331075,2331069,2331078,2331066,2331093,2331075,2331075,2331087,2331075,2331087,2331087,2331069,2331075,2331063,2331072,2331078,2331072,2331060,2331060,2331075,2331087,2331072,2331060,2331075,2331072,2331069,2331105,2331069,2331084,2331069,2331081,2331078,2331075,2331084,2331063,2331075,2331069,2331060,2331087,2331069,2331060,2331081,2331066,2331081,2331072,2331078,2331063,2331072,2331075,2331087,2331063,2331066,2331072,2331072,2331063,2331072,2331084,2331078,2331066,2331078,2331078,2331069,2331081,2331072,2331075,2331072,2331072,2331078,2331081,2331069,2331075,2331066,2331081,2331075,2331084,2331072,2331081,2331075,2331075,2331093,2331081,2331069,2331069,2331057,2331069,2331099,2331063,2331075,2331090,2331075,2331075,2331057,2331078,2331072,2331072,2331072,2331072,2331093,2331069,2331072,2331072,2331081,2331084,2331081,2331066,2331072,2331096,2331060,2331069,2331096,2331069,2331072,2331060,2331063,2331102,2331066,2331081,2331072,2331072,2331069,2331069,2331069,2331081,2331096,2331072,2331063,2331066,2331063,2331069,2331072,2331072,2331072,2331078,2331075,2331075,2331069,2331066,2331066,2331072,2331075,2331075,2331081,2331078,2331069,2331075,2331069,2331075,2331075,2331084,2331096,2331072,2331069,2331069,2331066,2331081,2331072,2331090,2331096,2331063,2331078,2331060,2331078,2331069,2331084,2331069,2331084,2331066,2331075,2331084,2331069,2331069,2331069,2331069,2331075,2331060,2331069,2331072,2331078,2331069,2331063,2331072,2331084,2331066,2331081,2331084,2331078,2331075,2331063,2331084,2331081,2331072,2331060,2331069,2331069,2331066,2331087,2331072,2331084,2331084,2331072,2331069,2331075,2331078,2331075,2331063,2331075,2331075,2331057,2331066,2331075,2331066,2331084,2331078,2331075,2331066,2331069,2331078
house,2347985,2347991,2347985,2347991,2347988,2347976,2347982,2347988,2347979,2347988,2347979,2347988,2347994,2348000,2347994,2347982,2347988,2347985,2347979,2347985,2347973,2347976,2347985,2347967,2347982,2347985,2347976,2347976,2347982,2347985,2347988,2347976,2347994,2347994,2347973,2347976,2347973,2347973,2347985,2347994,2348012,2347979,2348012,2347976,2347985,2347976,2347970,2347979,2347979,2347976,2347982,2347973,2347982,2347991,2347982,2348009,2347985,2347982,2347985,2347982,2347988,2347991,2347979,2348000,2347976,2347985,2347985,2347985,2347970,2347988,2347976,2347976,2347988,2347976,2347985,2347988,2347985,2347991,2347982,2347982,2347973,2348006,2348000,2347985,2347979,2347976,2347991,2347994,2347988,2347976,2347985,2347979,2347976,2348006,2347973,2347979,2347985,2347985,2347985,2347976,2348003,2347985,2347976,2347994,2347979,2347982,2347988,2347979,2347988,2347982,2347976,2347979,2347994,2347979,2347976,2347988,2347976,2347967,2347985,2347988,2347976,2347988,2347994,2347997,2347976,2347991,2347976,2347979,2347976,2347988,2348012,2347982,2347991,2347985,2347979,2347982,2347979,2347991,2347976,2347991,2348006,2347982,2347991,2347979,2348006,2347994,2347988,2348003,2347979,2347976,2347988,2347985,2347994,2347985,2347985,2347979,2347985,2347988,2347988,2347991,2347991,2347979,2347979,2347985,2347979,2347976,2347979,2347991,2347982,2347976,2347988,2348012,2347988,2347994,2347985,2347973,2347985,2347976,2347985,2347988,2347973,2347976,2347979,2347997,2347979,2347976,2347985,2347979,2347982,2347997,2347982,2347976,2347988,2347997,2347976,2347976,2347979,2347973,2347991,2347973,2347994,2347979,2347979,2347973,2347994,2347985,2347979,2347979,2347988,2347985,2347982,2347976,2347973,2347979,2348003,2347982,2347985,2347976,2347976,2347976,2347973,2347982,2347991,2347979,2347988,2347988,2348003,2347994,2347973,2347973,2347985,2347976,2347979,2347973,2347991,2348003,2347976,2347985,2347991,2348000,2347979,2347988,2347982,2348006,2347973,2347973,2347976,2347997,2347994,2347982,2347988,2347973,2348003,2347976,2347982,2347973,2347979,2348006,2347979,2347979,2347976,2347985,2347991,2347979,2348006,2347970,2347979,2347988,2347997,2347988,2347988,2347982,2347988,2347982,2347988,2347988,2347979,2347973,2347982,2348003,2347982,2347970,2347991,2347970,2347982,2348003,2348000,2347979,2347979,2347985,2347979,2347991,2347988,2347988,2347991,2347976,2347976,2347970,2348021,2347991,2347970
medical,2329957,2329942,2329954,2329942,2329948,2329939,2329966,2329951,2329972,2329945,2329945,2329954,2329942,2329951,2329966,2329951,2329948,2329945,2329972,2329954,2329945,2329939,2329939,2329936,2329954,2329948,2329960,2329951,2329969,2329948,2329954,2329957,2329948,2329945,2329954,2329951,2329945,2329954,2329960,2329942,2329951,2329954,2329951,2329966,2329957,2329960,2329951,2329963,2329954,2329948,2329966,2329960,2329948,2329966,2329966,2329951,2329948,2329951,2329948,2329945,2329957,2329957,2329945,2329942,2329954,2329948,2329972,2329954,2329960,2329954,2329942,2329948,2329936,2329957,2329954,2329954,2329954,2329942,2329960,2329939,2329945,2329939,2329951,2329945,2329942,2329939,2329942,2329963,2329960,2329960,2329960,2329939,2329945,2329954,2329960,2329939,2329948,2329972,2329954,2329945,2329945,2329945,2329945,2329972,2329945,2329966,2329969,2329978,2329945,2329951,2329948,2329951,2329951,2329948,2329966,2329960,2329978,2329951,2329948,2329954,2329954,2329957,2329951,2329978,2329948,2329957,2329957,2329942,2329948,2329954,2329954,2329948,2329954,2329957,2329966,2329954,2329948,2329948,2329951,2329936,2329942,2329960,2329948,2329951,2329960,2329945,2329948,2329942,2329942,2329942,2329945,2329969,2329948,2329957,2329957,2329963,2329957,2329957,2329948,2329948,2329951,2329960,2329942,2329945,2329948,2329942,2329957,2329945,2329948,2329951,2329942,2329966,2329945,2329951,2329957,2329963,2329960,2329942,2329951,2329948,2329951,2329963,2329939,2329945,2329948,2329966,2329948,2329948,2329951,2329951,2329945,2329939,2329954,2329945,2329942,2329960,2329957,2329942,2329957,2329966,2329942,2329969,2329945,2329963,2329957,2329951,2329966,2329948,2329954,2329960,2329948,2329993,2329954,2329939,2329945,2329960,2329945,2329966,2329954,2329981,2329939,2329951,2329948,2329963,2329957,2329957,2329951,2329963,2329975,2329966,2329954,2329939,2329963,2329948,2329948,2329951,2329948,2329948,2329954,2329951,2329939,2329951,2329966,2329948,2329969,2329948,2329957,2329954,2329942,2329942,2329963,2329963,2329975,2329948,2329945,2329954,2329945,2329948,2329975,2329948,2329945,2329963,2329957,2329972,2329948,2329957,2329966,2329948,2329951,2329954,2329939,2329945,2329978,2329951,2329948,2329954,2329939,2329957,2329945,2329957,2329948,2329948,2329951,2329945,2329954,2329963,2329939,2329948,2329954,2329954,2329963,2329966,2329963,2329945,2329942,2329936,2329978,2329963,2329939,2329960


push
car,4256857,4256862,4256862,4256837,4256842,4256877,4256827,4256867,4256862,4256857,4256872,4256897,4256842,4256847,4256852,4256902,4256832,4256867,4256827,4256857,4256852,4256837,4256827,4256852,4256877,4256862,4256867,4256837,4256862,4256847,4256882,4256832,4256862,4256857,4256852,4256892,4256847,4256847,4256857,4256857,4256862,4256832,4256892,4256867,4256837,4256867,4256832,4256847,4256842,4256857,4256867,4256857,4256847,4256847,4256862,4256852,4256832,4256862,4256847,4256827,4256852,4256847,4256862,4256857,4256832,4256852,4256887,4256827,4256842,4256837,4256862,4256832,4256872,4256837,4256852,4256862,4256847,4256862,4256862,4256837,4256827,4256832,4256862,4256832,4256832,4256842,4256852,4256847,4256857,4256852,4256837,4256882,4256872,4256837,4256837,4256877,4256872,4256852,4256852,4256847,4256847,4245055,4256857,4256867,4256857,4256842,4256842,4256862,4256892,4256852,4256862,4256852,4256847,4256837,4256862,4256847,4256882,4256862,4256852,4256837,4256842,4256872,4256842,4256847,4256857,4256852,4256827,4256827,4256847,4256837,4256837,4256892,4256842,4256857,4256852,4256832,4256842,4256837,4256877,4256852,4256852,4256847,4256872,4256852,4256837,4256837,4256877,4256842,4256842,4256862,4256847,4256857,4256842,4256842,4256857,4256842,4256847,4256847,4256887,4256877,4256842,4256857,4256827,4256867,4256862,4256852,4256827,4256857,4256872,4256852,4256857,4256832,4256842,4256867,4256882,4256842,4256857,4256852,4256847,4256822,4256852,4256852,4256837,4256832,4256872,4256857,4256852,4256837,4256837,4256857,4256837,4256837,4256857,4256832,4256842,4256847,4256837,4256882,4256827,4256857,4256842,4256832,4256842,4256827,4256832,4256842,4256877,4256862,4256862,4256857,4256847,4256827,4256862,4256847,4256857,4256852,4256872,4256842,4256847,4256857,4256857,4256857,4256867,4256862,4256867,4256847,4256877,4256867,4256832,4256847,4256882,4256837,4256862,4256852,4256852,4256857,4256847,4256847,4256857,4256842,4256857,4256852,4256852,4256827,4256832,4256852,4256877,4256842,4256842,4256852,4256842,4256837,4256857,4256842,4256842,4256867,4256892,4256847,4256867,4256882,4256867,4256887,4256857,4256847,4256827,4256847,4256832,4256852,4256842,4256827,4256842,4256842,4256847,4256842,4256852,4256837,4256837,4256847,4256847,4256882,4256842,4256852,4256832,4256862,4256837,4256852,4256857,4256902,4256832,4256837,4256867,4256837,4256857,4256857,4256857,4256837,4256842,4256832,4256852,4256882,4256862
diabetes,4627349,4627364,4627329,4627329,4627349,4627349,4627319,4627374,4627344,4627344,4627324,4627334,4627329,4627349,4627364,4627349,4627384,4627344,4627379,4627339,4627364,4627354,4627329,4627354,4627359,4627354,4627384,4627359,4627339,4627379,4627349,4627344,4627354,4627344,4627349,4627339,4627344,4627379,4627319,4627354,4627334,4627359,4627384,4627334,4627334,4627359,4627354,4627334,4627354,4627354,4627354,4627329,4627354,4627354,4627354,4627334,4627339,4627364,4627349,4627339,4627359,4627339,4627339,4627329,4627344,4627344,4627329,4627374,4627349,4627369,4627344,4627369,4627344,4627344,4627339,4627364,4627344,4627339,4627354,4627349,4627354,4627334,4627339,4627384,4627329,4627334,4627374,4627334,4627354,4627339,4627319,4627379,4627359,4627364,4627339,4627349,4627339,4627359,4627339,4627374,4627354,4627374,4627334,4627344,4627354,4627334,4627349,4627334,4627334,4627374,4627339,4627329,4627339,4627349,4627344,4627354,4627349,4627324,4627359,4627329,4627354,4627359,4627334,4627354,4627339,4627349,4627329,4627339,4627339,4627339,4627349,4627369,4627344,4627339,4627349,4627349,4627359,4627354,4627374,4627364,4627369,4627359,4627339,4627339,4627329,4627349,4627349,4627344,4627329,4627329,4627349,4627344,4627334,4627359,4627329,4627329,4627344,4627369,4627329,4627334,4627359,4627344,4627339,4627379,4627339,4627339,4627339,4627344,4627339,4627334,4627404,4627339,4627329,4627334,4627344,4627334,4627354,4627359,4627359,4627339,4627339,4627349,4627349,4627339,4627319,4627364,4627339,4627344,4627349,4627339,4627359,4627344,4627329,4627329,4627329,4627349,4627349,4627379,4627349,4627339,4627359,4627334,4627364,4627339,4627349,4627369,4627374,4627349,4627364,4627349,4627334,4627339,4627349,4627329,4627344,4627339,4627329,4627334,4627334,4627364,4627329,4627374,4627334,4627324,4627349,4627354,4627349,4627364,4627359,4627344,4627354,4627349,4627374,4627334,4627334,4627369,4627364,4627324,4627319,4627359,4627364,4627324,4627334,4627369,4627369,4627354,4627334,4627344,4627364,4627324,4627369,4627339,4627334,4627359,4627349,4627349,4627339,4627354,4627324,4627334,4627334,4627324,4627324,4627374,4627334,4627354,4627349,4627334,4627329,4627349,4627329,4627369,4627334,4627354,4627354,4627349,4627329,4627349,4627374,4627364,4627339,4627329,4627329,4627334,4627339,4627344,4627354,4627344,4627364,4627394,4627364,4627324,4627359,4627349,4627369,4627354,4627344,4627339,4627339,4627329,4627344
