Index,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt
89657,1424782165258,1424784010578747630,-0.000289917,-0.0010528564,0.0020599365,d,nexus4,nexus4_2,sit
338561,1424789153109,1424790998428960891,1.4644775,-0.37919617,0.26620483,e,nexus4,nexus4_2,bike
311966,1424698411135,1424698409143733520,0.020599365,0.11834717,-0.0003051757799999,a,nexus4,nexus4_1,bike
68295,1424787573162,141691197129000,-0.018020526,-0.002443461,0.0012217305,e,s3,s3_1,sit
33865,1424699285652,1424699283652848333,0.004928589,-0.0012817383,-0.0013427734,h,nexus4,nexus4_1,sit
57970,1424787507907,141635232035000,-0.7431175999999999,-0.4841107,0.86651236,e,s3,s3_1,
342834,1424780947613,1424780951095090189,0.7941437,0.054519653,0.12173462,f,nexus4,nexus4_1,bike
300400,1424688472509,266605101725000,-0.31948254,-0.7809911999999999,0.50793445,g,s3,s3_2,stairsdown
93288,1424785227597,350199036899000,0.07727446,0.019242255,0.0870483,b,s3,s3_2,sit
63345,1424785457661,8712052181000,0.13028488,0.5162599,0.8158663,b,s3mini,s3mini_1,walk
