fueltype,aspiration,doornumber,carbody,drivewheel,carlength,price
1,0,1,0,2,168.8,13495
1,0,1,0,2,168.8,16500
1,0,1,2,2,171.2,16500
1,0,0,3,1,176.6,13950
1,0,0,3,0,176.6,17450
1,0,1,3,1,177.3,15250
1,0,0,3,1,192.7,17710
1,0,0,4,1,192.7,18920
1,1,0,3,1,192.7,23875
1,1,1,2,0,178.2,17859.167
1,0,1,3,2,176.8,16430
1,0,0,3,2,176.8,16925
1,0,1,3,2,176.8,20970
1,0,0,3,2,176.8,21105
1,0,0,3,2,189,24565
1,0,0,3,2,189,30760
1,0,1,3,2,193.8,41315
1,0,0,3,2,197,36880
1,0,1,2,1,141.1,5151
1,0,1,2,1,155.9,6295
1,0,0,3,1,158.8,6575
1,0,1,2,1,157.3,5572
1,0,1,2,1,157.3,6377
1,1,1,2,1,157.3,7957
1,0,0,2,1,157.3,6229
1,0,0,3,1,157.3,6692
1,0,0,3,1,157.3,7609
1,1,1,3,1,157.3,8558
1,0,0,4,1,174.6,8921
1,1,1,2,1,173.2,12964
1,0,1,2,1,144.6,6479
1,0,1,2,1,144.6,6855
1,0,1,2,1,150,5399
1,0,1,2,1,150,6529
1,0,1,2,1,150,7129
1,0,0,3,1,163.4,7295
1,0,0,4,1,157.1,7295
1,0,1,2,1,167.5,7895
1,0,1,2,1,167.5,9095
1,0,0,3,1,175.4,8845
1,0,0,3,1,175.4,10295
1,0,0,3,1,175.4,12945
1,0,1,3,1,169.1,10345
1,0,0,3,2,170.7,6785
1,0,1,3,1,155.9,8916.5
1,0,0,3,1,155.9,8916.5
1,0,1,2,2,172.6,11048
1,0,0,3,2,199.6,32250
1,0,0,3,2,199.6,35550
1,0,1,3,2,191.7,36000
1,0,1,2,1,159.1,5195
1,0,1,2,1,159.1,6095
1,0,1,2,1,159.1,6795
1,0,0,3,1,166.8,6695
1,0,0,3,1,166.8,7395
1,0,1,2,2,169,10945
1,0,1,2,2,169,11845
1,0,1,2,2,169,13645
1,0,1,2,2,169,15645
1,0,1,2,1,177.8,8845
1,0,0,3,1,177.8,8495
1,0,1,2,1,177.8,10595
1,0,0,3,1,177.8,10245
0,0,0,3,1,177.8,10795
1,0,0,2,1,177.8,11245
1,0,0,3,2,175,18280
0,0,0,3,2,175,18344
0,1,0,3,2,190.9,25552
0,1,0,4,2,190.9,28248
0,1,1,1,2,187.5,28176
0,1,0,3,2,202.6,31600
1,0,0,3,2,202.6,34184
1,0,1,0,2,180.3,35056
1,0,0,3,2,208.1,40960
1,0,1,1,2,199.2,45400
1,1,1,2,2,178.4,16503
1,0,1,2,1,157.3,5389
1,0,1,2,1,157.3,6189
1,0,1,2,1,157.3,6669
1,1,1,2,1,157.3,7689
1,1,1,2,1,173,9959
1,0,1,2,1,173,8499
1,1,1,2,1,173.2,12629
1,1,1,2,1,173.2,14869
1,1,1,2,1,173.2,14489
1,0,0,3,1,172.4,6989
1,0,0,3,1,172.4,8189
1,1,0,3,1,172.4,9279
1,0,0,3,1,172.4,9279
1,0,1,3,1,165.3,5499
0,0,1,3,1,165.3,7099
1,0,1,3,1,165.3,6649
1,0,0,3,1,165.3,6849
1,0,0,4,1,170.2,7349
1,0,1,3,1,165.3,7299
1,0,1,2,1,165.6,7799
1,0,0,3,1,165.3,7499
1,0,0,4,1,170.2,7999
1,0,1,1,1,162.4,8249
1,0,0,2,1,173.4,8949
1,0,0,3,1,173.4,9549
1,0,0,3,1,181.7,13499
1,0,0,4,1,184.6,14399
1,0,0,3,1,184.6,13499
1,0,1,2,2,170.7,17199
1,1,1,2,2,170.7,19699
1,0,1,2,2,178.5,18399
1,0,0,3,2,186.7,11900
0,1,0,3,2,186.7,13200
1,0,0,4,2,198.9,12440
0,1,0,4,2,198.9,13860
1,0,0,3,2,186.7,15580
0,1,0,3,2,186.7,16900
1,0,0,4,2,198.9,16695
0,1,0,4,2,198.9,17075
1,0,0,3,2,186.7,16630
0,1,0,3,2,186.7,17950
1,1,0,3,2,186.7,18150
1,0,1,2,1,157.3,5572
1,1,1,2,1,157.3,7957
1,0,0,2,1,157.3,6229
1,0,0,3,1,167.3,6692
1,0,0,3,1,167.3,7609
1,0,0,4,1,174.6,8921
1,1,1,2,2,173.2,12764
1,0,1,2,2,168.9,22018
1,0,1,1,2,168.9,32528
1,0,1,1,2,168.9,34028
1,0,1,0,2,168.9,37028
1,0,1,2,2,175.7,31400.5
1,0,0,4,1,181.5,9295
1,0,1,2,1,176.8,9895
1,0,1,2,1,186.6,11850
1,0,0,3,1,186.6,12170
1,0,1,2,1,186.6,15040
