X1,X2,X3,X4,X5,X6,Y2
98,515,294,110,7,2,21
98,515,294,110,7,3,21
98,515,294,110,7,4,21
98,515,294,110,7,5,21
90,564,319,123,7,2,28
90,564,319,123,7,3,25
90,564,319,123,7,4,25
90,564,319,123,7,5,30
86,588,294,147,7,2,27
86,588,294,147,7,3,22
86,588,294,147,7,4,23
86,588,294,147,7,5,28
82,613,319,147,7,2,24
82,613,319,147,7,3,21
82,613,319,147,7,4,21
82,613,319,147,7,5,25
79,637,343,147,7,2,38
79,637,343,147,7,3,31
79,637,343,147,7,4,31
79,637,343,147,7,5,39
76,662,417,123,7,2,30
76,662,417,123,7,3,30
76,662,417,123,7,4,30
76,662,417,123,7,5,29
74,686,245,221,4,2,11
74,686,245,221,4,3,11
74,686,245,221,4,4,11
74,686,245,221,4,5,11
71,711,270,221,4,2,11
71,711,270,221,4,3,12
71,711,270,221,4,4,11
71,711,270,221,4,5,12
69,735,294,221,4,2,12
69,735,294,221,4,3,12
69,735,294,221,4,4,12
69,735,294,221,4,5,12
66,760,319,221,4,2,12
66,760,319,221,4,3,12
66,760,319,221,4,4,12
66,760,319,221,4,5,12
64,784,343,221,4,2,17
64,784,343,221,4,3,17
64,784,343,221,4,4,17
64,784,343,221,4,5,17
62,809,368,221,4,2,12
62,809,368,221,4,3,12
62,809,368,221,4,4,12
62,809,368,221,4,5,12
98,515,294,110,7,2,26
98,515,294,110,7,3,26
98,515,294,110,7,4,26
98,515,294,110,7,5,26
90,564,319,123,7,2,33
90,564,319,123,7,3,30
90,564,319,123,7,4,30
90,564,319,123,7,5,34
86,588,294,147,7,2,31
86,588,294,147,7,3,26
86,588,294,147,7,4,27
86,588,294,147,7,5,32
82,613,319,147,7,2,27
82,613,319,147,7,3,25
82,613,319,147,7,4,25
82,613,319,147,7,5,29
79,637,343,147,7,2,42
79,637,343,147,7,3,35
79,637,343,147,7,4,34
79,637,343,147,7,5,43
76,662,417,123,7,2,34
76,662,417,123,7,3,34
76,662,417,123,7,4,34
76,662,417,123,7,5,34
74,686,245,221,4,2,13
74,686,245,221,4,3,14
74,686,245,221,4,4,13
74,686,245,221,4,5,14
71,711,270,221,4,2,14
71,711,270,221,4,3,14
71,711,270,221,4,4,14
71,711,270,221,4,5,14
69,735,294,221,4,2,14
69,735,294,221,4,3,15
69,735,294,221,4,4,14
69,735,294,221,4,5,14
66,760,319,221,4,2,14
66,760,319,221,4,3,14
66,760,319,221,4,4,14
66,760,319,221,4,5,14
64,784,343,221,4,2,19
64,784,343,221,4,3,19
64,784,343,221,4,4,19
64,784,343,221,4,5,19
62,809,368,221,4,2,14
