row,column,pop_in_A
10,2,25319
25,2,25935
50,2,25935
75,2,25935
100,2,25935
250,2,25935
500,2,25935
750,2,25935
1000,2,25935
2500,2,25935
5000,2,25935
7500,2,25935
10000,2,25935
25000,2,25947
50000,2,25959
75000,2,25971
100000,2,25995
250000,2,26091
500000,2,26315
750000,2,26539
1000000,2,26763
1250000,2,26987
1500000,2,27211
1750000,2,27435
2000000,2,27659
10,3,25696
25,3,26312
50,3,26312
75,3,26312
100,3,26312
250,3,26312
500,3,26312
750,3,26312
1000,3,26312
2500,3,26312
5000,3,26312
7500,3,26312
10000,3,26312
25000,3,26336
50000,3,26360
75000,3,26384
100000,3,26420
250000,3,26576
500000,3,26967
750000,3,27358
1000000,3,27749
1250000,3,28128
1500000,3,28519
1750000,3,28910
2000000,3,29301
10,4,26139
25,4,26755
50,4,26755
75,4,26755
100,4,26755
250,4,26755
500,4,26755
750,4,26755
1000,4,26755
2500,4,26755
5000,4,26755
7500,4,26767
10000,4,26767
25000,4,26791
50000,4,26827
75000,4,26875
100000,4,26911
250000,4,27313
500000,4,28045
750000,4,28777
1000000,4,29509
1250000,4,30241
1500000,4,30973
1750000,4,31705
2000000,4,32437
10,5,28209
25,5,28825
50,5,28825
75,5,28825
100,5,28825
250,5,28825
500,5,28825
750,5,28825
1000,5,28825
2500,5,28825
5000,5,28825
7500,5,28837
10000,5,28837
25000,5,28861
50000,5,28909
75000,5,28945
100000,5,28993
250000,5,29428
500000,5,30226
750000,5,31024
1000000,5,31822
1250000,5,32620
1500000,5,33418
1750000,5,34216
2000000,5,35002
10,6,28697
25,6,29313
50,6,29313
75,6,29313
100,6,29313
250,6,29313
500,6,29313
750,6,29313
1000,6,29313
2500,6,29313
5000,6,29313
7500,6,29325
10000,6,29325
25000,6,29349
50000,6,29397
75000,6,29445
100000,6,29493
250000,6,29961
500000,6,30825
750000,6,31689
1000000,6,32553
1250000,6,33405
1500000,6,34269
1750000,6,35133
2000000,6,35997
10,7,29114
20,7,29422
25,7,29730
50,7,29730
75,7,29730
100,7,29730
250,7,29730
500,7,29730
750,7,29730
1000,7,29730
2500,7,29730
5000,7,29730
7500,7,29742
10000,7,29742
25000,7,29766
50000,7,29814
75000,7,29862
100000,7,29910
250000,7,30423
500000,7,31353
750000,7,32283
1000000,7,33201
1250000,7,34131
1500000,7,35061
1750000,7,35979
2000000,7,36909
