x,y
1,1
2,-8
3,3
1,4
5,5
6,9
14,7
8,17
9,9
18,10
11,10
12,7
13,13
14,14
20,15
6,16
17,8
19,18
24,19
18,20
21,15
12,22
14,23
20,24
25,25
34,26
27,27
28,22
37,29
20,30
31,33
32,29
37,33
34,34
35,35
36,36
37,35
44,38
39,39
40,49
41,41
42,41
43,43
39,44
45,38
41,46
47,45
57,48
49,53
50,43
46,51
52,58
53,52
54,51
55,55
56,59
57,57
56,58
59,59
60,60
61,61
70,62
63,63
64,63
57,65
66,76
67,76
68,68
76,69
68,70
71,74
72,80
73,73
74,74
75,75
67,76
77,86
78,84
73,79
80,80
81,88
87,82
83,83
84,92
90,85
86,86
93,87
88,93
89,89
99,90
91,98
92,89
93,87
101,94
95,99
96,96
97,90
108,98
99,96
93,100
